"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",0.0000,"24.3448","22.9596","18.7621","13.8505","19.2124","20.2599","19.8977","19.4837","29.3996","44.0696","76.3135","91.1330","22.8072","19.0381","18.1075","17.0169","19.0229","15.6815","14.2550","14.4714","15.9726","18.3871","24.9982","36.3754","21.9246","17.2897","12.1005","11.0000","13.8136","12.3174","11.0000","12.6184","18.7317","15.3089","18.9349","18.3765","25.3761","32.7780","46.8954","63.6438","15.9295","14.4781","11.0000","11.0000","14.5472","22.2421","33.5547","24.4840","37.5188","60.4514","125.5229","218.7099","12.2461","13.3514","11.4370","11.0000","11.6058","13.3336","14.2001","21.8944","15.2395","15.5748","21.0312","29.6215","11.0000","11.0000","11.0000","11.0000","12.1635","15.2337","27.9371","22.5552","19.5855","11.6334","14.6468","31.3606","11.0000","11.0000","11.0000","11.0000","11.0000","12.8292","17.1796","26.4963","17.7499","11.6428","13.8379","21.3547","13.0736","11.0000","11.0000","11.0000","11.0000","12.0625","16.9727","20.2822"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",0.2500,"25.0470","19.2857","16.1278","11.3647","14.1504","16.6391","17.0531","17.6574","34.8225","57.7223","88.9172","104.8722","22.6850","17.1185","18.4821","16.3327","16.9019","16.4392","15.2064","13.4861","16.8900","20.7097","24.2275","38.1983","21.9956","15.2638","14.4831","22.3081","13.9712","13.7629","12.3932","12.9608","17.8983","13.3986","21.4128","18.0565","28.2747","32.2406","49.6025","69.9407","13.5663","11.0000","12.2084","12.8815","16.9642","20.9209","35.6355","22.2734","39.3291","68.4865","150.3593","240.0202","11.0000","12.8493","11.0000","11.0000","11.0000","11.0000","12.4955","19.1235","16.9406","16.7583","19.6410","23.2923","11.0000","11.0000","11.0000","11.3729","13.8097","17.2739","29.7162","25.9664","15.7952","13.2684","16.1858","30.9364","11.0000","11.0000","11.0000","11.0000","11.9231","14.3577","19.4227","26.5578","19.6742","12.9034","16.1742","22.1258","11.0000","11.0000","11.0000","11.0000","11.0000","11.3753","14.8215","19.5644"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",0.5000,"22.8241","22.6776","21.8035","13.6287","15.7400","19.4265","18.2553","16.2621","38.5090","65.1887","100.3267","112.4117","22.5694","19.5235","21.1234","18.3862","21.1140","18.0276","15.4119","15.2923","18.8523","23.6775","28.3020","40.3934","21.6061","17.1856","15.6864","28.1218","15.2485","13.4195","11.6193","15.2622","21.0237","15.4781","18.1530","19.0389","28.2817","37.9856","49.3851","74.4324","15.8139","12.7811","13.0969","11.7397","16.7085","23.2359","35.6865","23.4912","41.0154","73.8183","161.3667","251.5517","14.8159","12.3154","11.0000","11.0000","12.7299","11.2143","14.2620","23.0352","20.4452","17.7943","23.3362","19.6892","12.0951","11.0000","12.4398","12.9211","13.1031","19.5429","30.1766","25.9040","15.2417","13.1322","22.3866","37.0644","13.1470","11.0000","11.0000","11.0000","11.5231","15.4750","15.9637","31.6082","19.1704","15.0709","17.0142","26.0714","11.0000","11.0000","13.5266","11.0000","11.0000","12.0912","15.0191","30.3155"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",0.7500,"21.9279","21.7375","18.4294","12.4563","13.8224","18.0121","17.2905","20.2453","41.3505","72.5987","105.9920","114.9967","22.9101","13.5133","16.0342","14.4206","19.2828","16.3314","15.7554","15.8925","19.9077","17.1191","27.1633","36.9798","20.6777","15.8727","12.4087","43.2615","13.7888","16.4421","12.4846","12.2239","21.0057","17.8222","21.0625","19.5739","29.8551","29.4769","50.6294","75.4034","11.0000","11.9847","11.6512","11.0000","12.2462","25.0186","36.5283","22.8573","41.9896","73.7398","161.7647","252.7758","11.0000","11.3124","11.0000","11.0000","11.0000","11.5206","11.0000","17.9619","19.3114","12.4487","19.2019","24.4380","11.0000","11.0000","11.0000","11.0000","11.5224","18.7295","29.9732","25.1677","17.7265","12.1979","18.3477","38.2337","11.0000","11.0000","11.0000","11.0000","11.0000","11.8715","15.7944","29.2067","21.4274","14.3513","17.5971","23.3103","11.0000","11.0000","12.8029","11.0000","11.0000","11.0000","15.8007","40.2339"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",1.0000,"22.3709","24.3280","21.9948","16.2641","17.5282","18.7234","18.7853","18.5018","45.8549","78.3200","112.7671","124.3692","24.0250","17.0339","18.0777","16.0135","19.2427","13.8397","13.4078","17.7573","17.2086","41.3375","26.7499","38.5041","19.4872","17.6449","14.6964","52.5051","14.5575","14.1909","12.4549","13.7826","26.3332","16.0595","21.7755","17.7350","28.0124","32.2469","51.7241","91.5770","11.3765","11.6183","12.0555","11.8023","17.7134","24.2370","38.0290","22.4574","39.5096","75.2012","163.0492","251.7434","14.0573","11.9399","11.0000","11.0000","11.9094","11.0000","13.0733","20.5462","22.9214","12.0833","21.0634","27.5431","11.0000","11.0000","11.0000","11.9310","13.5645","17.6454","28.8209","25.2129","15.4480","12.4276","18.7352","37.8093","11.0000","11.5821","17.3879","11.0000","11.0000","14.1587","17.6912","31.4780","20.2555","15.4961","16.5013","25.3163","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","44.8655"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",1.2500,"23.0163","20.2052","17.8200","15.6465","15.7854","17.8345","19.3260","20.1797","45.3510","82.6344","118.3207","128.1189","19.6020","15.7184","17.2364","15.5795","19.3814","16.4898","15.7378","15.5509","17.5948","18.4871","25.4265","33.6328","20.2813","15.8650","11.6132","67.7185","14.9465","16.6130","14.3015","12.0731","17.5779","17.5389","20.4090","17.8950","28.7421","32.4391","48.4598","102.2949","12.8134","13.8935","12.2088","11.0000","13.8158","24.4490","37.5832","24.2270","40.1779","73.6891","161.2128","252.7388","11.0000","13.6518","11.0000","11.0000","12.7593","12.6885","13.9803","21.6811","18.3033","13.1936","17.8695","28.3952","11.0000","11.0000","11.0000","11.0000","11.3680","20.7209","30.3086","23.0439","18.2204","11.0000","17.3313","34.7454","11.0000","12.1629","11.0000","11.0000","11.0000","12.3368","15.8047","31.0069","19.0266","16.3112","16.2116","25.2462","11.0000","11.0000","16.9269","11.0000","11.0000","11.0000","14.8711","52.6765"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",1.5000,"29.6008","25.2968","18.5762","17.0183","18.9095","15.8068","19.1821","16.9080","49.1242","88.7092","124.5043","139.2580","20.1887","18.2354","18.2138","16.2290","19.0589","17.4305","15.1841","15.0606","17.0671","20.6093","22.8825","38.9764","20.8091","18.1328","17.9582","88.6436","12.5043","16.3844","13.5698","14.6751","14.7379","16.9198","17.6345","17.8283","26.6415","33.6014","52.7987","103.6454","14.8486","14.1098","11.2489","12.9460","14.7289","25.4328","39.5901","22.0724","42.3551","71.2686","162.1443","255.5609","11.0000","11.2823","11.0000","11.0000","13.7883","13.6706","13.5593","20.5406","17.4205","13.3271","19.9364","25.5599","11.0000","11.0000","11.0000","14.2946","11.9538","20.5234","30.8493","25.4043","20.4600","11.0000","15.8162","35.0670","11.0000","11.0000","11.0000","11.0000","11.0000","15.4368","14.5586","30.2859","20.5359","15.3748","19.1521","26.2939","11.0000","11.0000","14.9823","11.0000","11.0000","11.0000","18.0400","55.6124"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",1.7500,"29.3345","24.9551","19.0315","17.0081","16.3748","15.9297","18.2920","20.6441","48.7528","92.3673","130.3274","143.0189","26.0442","16.3852","18.7312","16.2500","19.4336","17.4838","13.8177","15.2264","21.4411","21.5299","28.5567","42.9075","19.8092","18.8630","18.1573","100.6815","20.3243","15.6366","13.9430","17.3297","15.6196","17.1599","21.6085","19.1760","30.0010","31.3840","51.3473","92.0046","14.4088","13.9854","11.8716","11.9263","15.6430","29.6433","39.7105","23.2412","41.3435","74.2700","163.1828","254.7160","15.1330","14.0625","11.0000","11.0000","12.5768","15.1946","12.7391","22.8858","17.8899","14.7378","19.5970","28.7965","11.0000","11.0000","11.0000","14.6243","13.6662","21.0907","30.4452","26.1396","23.0758","11.0000","15.6887","38.5907","11.0000","12.6229","11.0000","11.0000","11.0000","14.9673","16.8589","33.2228","21.5315","14.4318","16.5898","29.2585","13.8925","11.0000","14.9331","11.0000","11.0000","11.1252","17.4962","17.5517"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",2.0000,"31.2188","24.6661","17.8258","14.7957","15.2088","17.3290","22.3159","22.4239","52.1351","93.4507","135.3677","147.8255","22.2381","18.3436","18.9693","14.8563","17.1361","18.8306","15.2188","17.0008","18.0936","18.9100","26.3112","60.1323","19.7057","16.4971","16.2106","107.3882","14.7703","16.1545","11.0000","12.1383","18.3458","15.7412","20.5455","20.0039","27.0642","33.9882","47.8238","72.1837","14.2204","14.7622","11.4968","11.0000","17.2941","25.5894","38.5167","23.9542","42.8686","70.4269","165.5713","254.1716","11.0000","11.8446","11.0000","13.0331","12.1839","12.2928","14.7254","22.7727","17.2616","14.7298","22.9960","29.7194","11.0000","11.0000","15.6155","17.2268","12.7190","21.1708","26.9637","23.1665","20.6454","11.0000","15.2946","37.7902","14.3078","13.7591","11.0000","11.0000","11.0000","15.6516","19.5205","33.1085","22.6118","15.3919","17.7357","28.5463","13.4063","11.0000","15.6020","11.0000","11.0000","11.0000","14.4203","17.8147"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_20_33_MBT_462_2#9#2023_A_15B_1.OKA","2/9/2023 10:45:50 AM","15-B","PM20B","TT12A","SAM129319","STECO157","MBT",2.2500,"29.8084","27.2376","16.4981","14.6340","18.2172","16.5812","20.0319","19.9629","54.1992","92.1850","136.7294","151.2913","22.0833","17.3516","17.0569","17.5175","19.3399","17.6310","12.4993","15.4652","17.7231","18.7190","24.5628","41.6336","19.4745","16.1537","16.2991","111.1531","13.6936","14.4373","11.0000","11.2765","13.0845","15.6202","21.0240","20.3574","23.7453","30.2057","51.3239","70.7037","13.9438","11.2468","11.0000","11.0000","12.9707","24.5017","37.7495","22.8363","40.5882","70.5109","162.8263","251.9970","12.8492","14.6584","11.0000","11.0000","11.9411","12.6894","12.4611","20.3189","17.5476","11.5918","21.8043","29.1566","11.6419","11.0000","15.5584","13.5797","11.0000","20.8008","29.6910","22.2848","20.2638","12.6655","17.1317","36.7771","11.0000","11.5520","11.0000","11.0000","11.0000","14.6946","15.7657","30.2940","20.2339","17.0942","18.6002","24.4255","11.0000","11.0000","16.2547","11.0000","11.0000","12.4967","14.7838","18.6993"
