"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",0.0000,"71.2886","61.0870","86.3863","51.1419","22.3394","54.9532","32.7123","24.5096","44.5363","14.6317","53.4386","65.5899","76.6289","32.5091","28.9582","11.0000","52.6446","21.7806","11.0000","20.4590","28.8911","21.0106","19.5253","67.4667","30.4419","19.6700","28.2087","37.7384","51.0992","35.1589","11.0000","26.2194","11.4292","48.7709","31.3551","53.2342","48.8478","40.7004","27.6905","35.3019","12.3990","11.0000","21.5759","42.7233","11.0000","11.0000","16.8126","17.1616","28.8791","21.8991","35.9424","11.0000","11.0000","42.2914","12.2467","11.8370","12.4064","17.6634","16.2060","22.2553","47.7007","16.4265","21.0215","12.2164","15.6717","11.3393","11.8687","11.0000","15.8472","16.6022","19.8433","19.9701","32.0211","21.1917","18.3588","59.8304","16.1485","20.1461","18.1933","24.6058","19.8671","20.4141","34.9153","25.5276","37.1920","26.2309","36.1316","37.2537","28.7363","25.5814","22.4822","26.9176","21.3988","23.4780","31.0419","26.7931"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",0.2500,"22.9680","18.7285","66.9460","39.6342","11.0000","20.2483","22.1959","11.0000","28.6732","11.0000","64.1365","50.4083","80.5090","14.1706","11.0000","11.0000","41.7863","53.7818","16.5545","30.7747","11.0000","29.3936","14.4287","71.7946","14.7587","11.0000","11.0000","36.1445","41.2586","48.4600","11.0000","33.0743","18.8117","40.3135","16.9327","58.1425","56.9080","29.1162","20.0125","30.9085","35.6700","11.0000","38.3891","42.0492","16.2677","14.6517","16.8998","17.2127","17.9911","15.5209","43.3535","11.0000","26.7915","55.2560","12.0881","13.2616","14.5373","14.9515","15.1588","24.7810","37.8057","15.7788","20.2893","11.0000","15.5982","11.7699","11.8397","11.5581","13.6386","13.5480","19.0194","17.3878","25.6469","16.3459","15.2082","57.7077","12.1710","11.6847","12.5106","27.6028","13.8440","17.6537","25.1419","32.9911","28.7729","24.6029","29.2951","42.1072","20.3003","22.9635","21.1747","20.0026","22.9456","32.5652","32.8561","37.1091"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",0.5000,"28.0598","25.7790","78.8314","44.5280","11.0000","15.2229","21.8497","11.0000","25.2040","12.7506","62.5012","49.3913","77.0136","12.9700","11.0000","11.0000","48.4103","62.7768","14.8449","30.9727","14.6994","36.0809","19.0739","61.2230","20.0142","12.4706","11.0000","39.3992","38.3821","34.4168","11.0000","32.6039","24.4672","47.9431","17.2518","32.2260","58.1570","29.7942","12.3729","39.6082","30.4422","11.0000","27.9838","47.4126","16.6614","16.5219","17.5728","21.0525","23.3358","16.2425","48.8900","13.2233","32.7973","13.5058","14.1557","16.3813","17.7359","14.3106","15.1733","23.3980","46.0422","16.1163","24.9788","15.0943","17.1759","12.4143","12.0541","11.5564","20.8597","14.0609","21.1438","16.4690","31.1080","19.7467","18.9641","54.7400","16.0873","13.7993","12.7907","24.6103","15.1755","17.2212","22.0616","32.4400","31.3883","27.5063","27.3368","37.4662","23.2883","22.2645","22.7705","19.7188","20.2494","26.2486","40.2783","28.9603"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",0.7500,"20.6335","19.8513","62.1571","16.7086","11.0000","11.0000","21.3620","11.0000","15.4560","12.0035","65.9221","44.5805","67.3477","13.1699","11.0000","11.0000","28.0348","51.7105","19.9108","17.8288","16.7302","45.1753","18.4848","71.5454","14.0051","11.0000","11.0000","40.3676","34.2649","17.1961","11.0000","33.6037","24.4168","43.9938","12.6970","20.9862","57.4864","22.6203","17.8172","32.7091","23.7392","11.0000","20.1814","43.4971","15.4315","13.8229","17.2514","19.3789","19.6973","14.9777","55.4321","11.4392","42.3407","11.0000","13.3306","13.2648","12.9028","17.2904","13.2806","22.9735","31.5675","12.9610","18.0823","12.5544","16.6842","13.3086","12.3981","11.9624","18.7206","14.3711","18.4696","18.3689","27.1696","19.1488","15.6134","30.3196","16.8429","17.4295","15.7609","28.9689","15.8434","20.0545","21.4266","24.4791","27.4683","26.3431","23.9897","24.5403","26.5236","19.8711","24.8391","20.3694","19.5441","24.6875","42.9906","25.7369"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",1.0000,"27.5039","21.2817","59.4703","17.7260","11.0000","11.0000","16.9526","11.0000","13.9903","11.0000","61.3004","48.2724","57.0739","14.9593","11.0000","11.0000","43.0663","48.2507","20.9166","11.0000","21.1765","43.6466","20.3926","55.5545","18.9455","11.0000","11.0000","42.8368","32.3655","11.0000","11.0000","33.1895","26.4139","41.8186","17.4603","20.1604","56.1781","27.9047","22.6711","35.9535","22.5863","11.0000","11.0000","43.3765","13.4845","14.6891","15.7697","23.3206","24.2339","16.2980","56.7061","11.4398","35.7017","11.0309","12.3653","13.8428","16.6009","14.4666","15.1512","21.0910","34.9551","14.9442","25.0117","15.4384","18.4459","11.3086","14.9332","12.8785","13.7514","15.3065","19.3616","19.1673","29.1747","17.2944","17.6909","20.2499","14.6844","14.8210","12.1905","25.3351","14.4571","19.0212","20.5540","20.9431","29.4147","25.4978","24.7815","26.0593","22.9508","20.0922","23.5166","21.0374","19.2668","22.3742","33.4770","26.1059"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",1.2500,"23.6197","21.8780","51.1684","11.5178","11.0000","11.0000","21.1205","11.0000","11.0000","14.5070","61.3427","46.7430","63.3645","14.2438","11.0000","11.0000","35.0687","45.8166","19.6728","15.8341","20.5732","45.9868","17.6876","66.4605","17.6916","11.0000","11.0000","43.2777","30.4143","11.0000","11.0000","31.5123","27.1416","40.0830","14.8670","19.7484","56.4345","27.4644","24.7739","27.4375","17.3381","11.0000","11.0000","44.9457","17.0083","11.3139","14.6325","18.8170","21.3166","15.1983","57.5035","11.0943","40.4914","11.1546","11.0000","12.8581","16.7399","15.0217","14.5561","24.3716","41.2153","12.8969","19.8010","11.9638","17.3213","12.5692","11.7476","15.7638","14.4998","15.4643","18.9288","17.6207","27.5772","17.3805","17.2762","19.1081","16.6042","15.8676","11.5670","28.2703","17.8779","19.0441","21.2783","20.8464","28.8719","22.9181","22.2172","20.2292","23.1028","21.4319","22.7100","18.8792","18.5814","24.7057","29.7622","25.6448"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",1.5000,"21.3860","20.7475","42.1827","11.1617","11.0000","11.0000","20.0372","11.0000","11.0000","13.0753","59.6906","46.4191","60.9607","11.0000","11.0000","11.0000","32.1628","45.8871","20.4863","15.6560","19.6220","45.3833","15.8723","61.7573","18.6404","11.3021","11.0000","44.6209","31.0023","11.0000","11.0000","32.6490","22.5736","39.4178","13.2475","20.2989","55.1035","29.7155","24.3795","25.2004","16.3069","11.0000","11.0000","43.2945","11.3989","13.8088","16.2935","18.3441","19.4412","16.6848","56.4446","11.0000","40.7824","11.4337","11.2179","13.2611","16.3221","15.5936","17.1716","20.9541","43.1130","17.0174","19.4800","11.8089","16.0526","12.6353","12.8056","15.4368","14.5684","14.6136","20.2803","17.6534","24.7962","15.9591","16.9119","11.7428","11.3696","15.6050","14.5772","25.9862","17.0754","14.5575","21.9396","23.8540","28.5729","24.2653","23.8621","20.7409","20.4410","20.4132","20.9006","20.2315","20.5488","21.1235","26.3354","24.6053"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",1.7500,"23.4447","22.7979","44.9703","11.3568","11.0000","11.0000","19.8129","11.0000","11.0000","12.5050","56.1606","50.2367","56.0737","14.4705","11.0000","11.0000","39.7153","48.1851","15.3837","14.1726","22.4376","42.8396","16.4460","58.1762","17.7864","13.7877","11.0000","41.9440","26.5778","11.0000","11.0000","32.1367","23.8983","37.6012","14.6401","18.3783","51.4483","25.5401","24.0819","27.1265","19.5685","11.0000","11.0000","43.1491","15.8942","14.1882","17.9571","18.7933","19.6213","14.6493","59.2414","11.0000","37.1630","12.4211","14.2528","13.1011","13.3883","17.5228","14.2006","21.6665","45.1707","19.6587","26.1631","14.7449","22.0806","11.0000","11.7137","15.6853","15.9054","16.6532","19.0131","15.0192","28.5704","15.4107","15.9731","14.7949","14.8609","15.3120","15.2008","27.5097","17.7406","16.2358","19.8684","24.5214","30.3780","26.0032","24.5346","21.5017","20.3943","21.8223","24.6438","22.0922","19.7094","20.8591","24.5378","27.7480"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",2.0000,"21.8202","17.9106","32.1010","11.0000","11.0000","11.0000","21.8756","11.0000","11.4044","12.6598","57.1043","49.3357","60.1940","11.4090","11.0000","11.0000","34.9613","40.1676","20.1006","13.3971","28.1274","46.6272","16.0463","53.2874","14.2750","13.7817","11.0000","42.8718","25.7440","11.0000","11.0000","32.0261","20.5723","38.6757","15.3374","17.0197","48.8613","19.9463","22.1749","23.3918","15.8731","11.0000","11.0000","43.1397","14.8949","14.7423","14.2388","19.4917","18.3762","14.2006","52.9792","11.0000","35.2983","11.0000","12.6149","12.7935","14.0560","13.8474","15.7267","17.8107","42.5472","21.1011","17.4361","12.8044","20.2804","11.0000","13.3582","15.1776","14.8764","17.2104","18.4126","16.9821","28.3323","19.0403","16.0151","11.3408","13.1516","14.5219","15.4720","27.7568","15.1329","20.4244","18.6910","22.1954","28.1997","23.6942","23.4901","18.2663","21.4203","20.6633","22.1726","17.9735","17.2194","20.6150","24.0269","23.5079"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_9_33_MBT_462_2#9#2023_A_20A_10.OKA","2/9/2023 10:45:50 AM","20-A","PM09","TT12A","SAM129319","STECO157","MBT",2.2500,"39.2095","37.9847","58.4962","13.3048","14.1945","11.0000","11.5386","11.0000","11.0000","11.0000","39.2552","62.1138","81.6945","25.4856","22.3991","11.0000","43.2487","49.9955","12.8542","16.0913","20.6265","45.9431","14.9237","54.5837","31.6832","21.3994","16.9887","35.7523","40.5610","11.0000","11.0000","26.8177","11.0000","38.3994","13.0607","18.2034","63.1999","34.8451","21.1888","14.7025","13.7950","11.0000","11.0000","42.0015","11.9495","12.8706","14.1092","18.6954","29.0018","19.6728","39.4556","11.0000","20.4916","11.0000","11.0000","11.0000","11.5488","18.2269","14.1765","16.5845","51.3071","17.8859","11.0000","12.4874","18.9745","12.8763","11.3731","20.5078","11.5813","17.8627","19.8064","19.2474","34.4977","21.4736","18.3067","11.0000","14.3150","13.3323","11.3456","26.2113","16.4335","20.2155","20.6203","23.5589","29.8115","26.1796","24.0196","18.4897","20.8539","22.6084","21.9015","22.8407","20.6104","22.9560","24.2793","26.6752"
