"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",0.0000,"33.5389","34.2962","26.6554","11.0000","11.7119","11.0000","11.0000","15.4352","12.7789","11.0000","15.0948","25.0139","30.1086","25.4333","20.5117","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6581","11.7709","21.9263","32.9428","25.4494","20.0280","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2670","11.6186","22.6196","32.7330","18.7906","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6207","18.2683","31.5610","30.4995","12.9800","11.0000","11.0000","11.0000","11.2793","11.3087","11.0000","14.5533","13.4861","19.4666","34.2668","20.3926","13.4841","12.8276","13.9671","12.6885","11.0000","15.0827","13.9026","16.3580","17.1350","20.3884","40.3411","24.1093","16.6019","14.2377","15.9380","15.2923","12.4712","12.7026","14.1142","19.6128","17.5947","22.4840","35.5517","32.1905","20.5823","20.4016","21.1573","17.5858","19.4242","20.3612","19.6371","22.7101","26.8150","26.5536"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",0.2500,"38.6980","38.3273","26.8136","12.9730","11.0000","11.0000","11.0000","12.4376","15.8840","11.0000","13.2479","22.0424","32.7468","28.0232","19.1006","11.0000","11.0000","11.0000","11.0000","11.0000","11.3391","13.1644","13.8447","22.7587","35.5857","26.7978","18.7119","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9964","15.9479","21.7060","32.6246","21.3650","11.5116","11.0000","11.0000","11.0000","11.0000","11.0000","11.1227","11.0000","15.2841","20.4166","34.7877","27.1397","11.5979","11.0000","11.0000","11.0000","11.0000","11.0000","12.4958","17.2204","14.8857","17.3988","34.9022","22.1142","15.8662","15.0150","11.3972","11.8905","11.0000","14.5857","14.9660","18.7156","18.8302","23.8559","36.9832","24.4567","17.6707","17.2225","14.6767","13.7038","12.6014","11.7263","13.4036","18.8570","20.8296","25.6280","36.6188","32.4752","21.8998","20.2045","19.4405","17.1423","20.0145","18.8162","17.9559","23.6815","26.2624","28.4185"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",0.5000,"20.0863","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8056","14.3897","16.0963","21.4535","14.5083","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2482","11.2180","22.5668","20.0092","14.0210","17.8079","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2884","12.8448","16.8642","16.6132","22.3890","17.5189","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3376","13.4002","14.7983","22.4318","19.7050","19.7349","11.0000","11.7849","11.0000","13.0033","11.9017","11.3101","15.3408","13.7865","15.0094","20.1000","20.5031","12.1974","14.9951","11.0000","13.5144","11.0000","11.0000","14.9102","14.1325","13.8789","17.5337","21.6113","26.2652","16.2388","15.6635","13.7115","12.0420","14.6203","11.3764","13.3137","12.3764","16.5749","17.9300","23.3988","26.1734","24.0300","23.1966","19.1487","18.8856","18.1934","17.8182","17.6967","16.1496","19.8925","24.1654","27.2539"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",0.7500,"15.5473","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9355","13.7905","18.9233","24.8783","13.9878","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6198","13.0501","24.3106","17.9364","21.0098","15.0963","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2786","12.0462","17.0507","18.0062","23.2611","15.5997","11.0000","11.0000","11.0000","11.0000","11.3115","12.4648","11.0000","15.8784","13.9886","18.4827","21.6332","18.7932","21.9049","12.4190","11.0000","13.1123","12.5451","12.9535","13.0733","13.3799","14.2934","16.2109","23.1325","18.7239","16.6788","13.9768","11.0000","11.6142","13.9332","12.5225","18.5486","14.8536","12.3213","17.6855","21.6417","28.3604","13.6737","17.8838","16.9288","14.1842","13.3570","11.5345","14.6893","16.4176","16.6832","18.8894","24.9334","27.4679","24.1063","21.0981","20.3403","20.0328","20.9752","18.6919","17.1673","14.7042","19.4551","27.0662","28.4202"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",1.0000,"34.3418","31.2612","23.0277","11.9406","11.0000","11.0000","11.0000","11.0000","13.0574","14.2914","15.7458","23.5530","29.0559","24.5461","19.1200","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9839","15.4165","20.6038","31.4725","22.4865","17.6868","11.0000","11.0000","11.0000","11.0000","11.0619","13.2694","14.4816","16.6314","24.6372","33.5067","23.6954","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9036","13.8075","15.8687","22.0641","33.8739","33.1006","11.4742","12.2230","11.0000","11.0000","11.0000","11.0000","12.5258","17.2600","15.2904","22.2240","35.6417","22.2612","15.5909","14.2833","14.1264","11.3084","11.0000","15.2088","15.5528","21.1002","20.9569","22.2921","38.4618","24.0460","17.8659","17.9360","14.5745","14.1230","14.5026","12.4782","17.2427","20.7926","19.7348","24.6292","36.5702","36.2593","23.0587","21.2217","20.8689","20.9386","20.5079","21.8820","19.9130","25.3014","28.6647","32.9097"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",1.2500,"35.2208","28.7300","23.9488","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0708","14.3600","22.2233","28.9346","23.1516","17.8313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0554","13.0721","21.8883","27.4520","18.6277","13.8416","11.0000","11.0000","11.0000","11.0000","11.0000","12.9345","12.2974","13.3162","22.4040","32.1737","19.9154","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1463","11.8145","18.0409","21.7203","28.3993","30.0033","11.4086","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0467","14.1793","22.6817","33.2312","19.7907","12.7998","11.0310","11.0000","11.8928","11.0000","14.5589","13.6856","18.2210","18.8647","22.2635","34.7777","18.1148","14.2750","14.9329","12.8049","12.6560","12.7278","13.1501","19.0736","20.7050","16.8125","25.3228","34.5015","30.5001","24.6550","17.9538","20.3687","19.4620","18.8399","22.9834","19.4190","22.7596","26.1642","26.7707"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",1.5000,"18.2891","11.0000","11.0000","11.5524","11.0000","11.0000","11.0000","11.0000","12.6560","11.6607","18.1442","23.7530","11.3697","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4004","12.2436","23.9177","18.4026","22.4744","18.6538","12.3769","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8841","15.9480","18.9416","20.0702","19.3289","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9012","12.9940","13.1601","17.0648","18.9764","21.1528","22.9195","11.5344","11.2830","11.0000","11.5568","11.0000","11.4033","13.3555","11.6508","14.3371","20.9996","19.5877","17.7316","12.6470","11.0000","12.3813","13.3093","13.8488","12.9564","16.9404","13.9456","19.0710","22.7878","24.4592","13.2949","16.9032","14.6452","15.3814","11.0935","14.5150","16.0193","12.8503","14.7281","20.2337","29.9535","28.6720","22.8820","19.4373","20.5679","19.2492","17.5661","17.7917","15.3508","18.8669","20.5724","26.3938","26.6541"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",1.7500,"17.1089","11.0000","11.0000","11.0000","11.3231","11.0000","11.0000","11.0000","12.6615","13.3010","17.2382","25.0946","15.1953","11.0000","11.0000","11.0000","11.0000","11.0000","11.5342","12.9855","12.6818","28.3144","20.0235","21.3007","16.5246","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1942","18.1465","20.2593","25.3400","18.4424","11.0000","12.0538","11.0000","11.0000","11.1871","11.5637","11.0000","12.4181","15.4927","18.4567","22.8919","17.7954","25.2602","13.2398","15.0088","13.2192","13.1926","14.5399","13.2570","14.1597","13.8773","17.2128","23.3875","22.3367","17.0849","13.1149","16.7977","13.4818","16.1097","12.4602","15.9818","19.3477","17.0460","17.1012","23.9148","29.3963","16.3439","19.6411","13.3786","15.8017","16.1757","14.7151","13.2819","16.6151","17.8332","21.4755","26.5595","28.4665","28.0502","20.4390","21.1673","20.9993","20.1722","19.8142","17.8723","18.3472","20.9798","29.6417","26.9987"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",2.0000,"64.5076","60.3220","53.1392","35.2376","32.6025","21.8355","29.5044","27.2164","30.5209","17.1113","24.6690","39.9416","56.6145","50.9352","48.4598","25.0589","23.1373","18.6428","22.8720","26.0955","12.6861","13.0083","19.4073","39.3174","56.6266","46.8124","48.4136","24.0789","27.9525","20.5570","22.1033","11.7744","16.3347","17.3226","21.9125","24.6932","63.2520","45.7399","28.3750","25.1193","22.1222","23.9788","11.0000","12.4506","15.9586","17.8971","16.4929","26.5236","58.9430","50.9270","26.2451","26.1931","22.3130","23.4020","11.0000","12.8827","12.9283","18.7008","17.0131","25.5307","62.1204","42.7669","27.0089","28.1313","26.9938","15.8957","15.5572","17.7235","16.9312","19.2768","20.5722","29.6954","60.8712","44.2090","32.6292","32.5738","32.7439","21.5042","17.1844","17.6465","15.7570","21.8272","17.1815","27.5099","55.5005","60.0912","33.1776","33.9192","34.8068","23.0554","20.7814","26.2501","20.7136","24.2754","28.7315","32.4943"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_5_33_MBT_462_2#14#2023_A_22A_34.OKA","2/14/2023 1:49:51 PM","22-A","PM05","TT12B","SAM129320","STEC-O157","MBT",2.2500,"20.6458","14.2192","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8115","15.1171","23.0733","26.7429","21.3275","13.3832","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3432","16.8463","20.0150","22.5723","23.1251","15.3652","11.0000","11.2545","11.0000","11.0000","11.0000","11.9011","12.9402","13.7901","19.3551","26.1464","25.8392","11.0000","12.8774","11.0000","11.0000","11.0000","11.0000","11.3411","13.3056","13.0327","17.5819","23.7882","22.5427","25.4474","11.0000","11.0000","11.0000","13.5707","12.5284","14.7589","14.1331","14.1063","18.9378","22.4939","22.7095","17.4809","15.4776","14.5999","15.7416","13.7170","16.5355","15.7788","18.3940","15.7977","17.8236","26.5670","35.2259","17.8883","18.5053","19.7543","15.8900","20.9890","17.9945","15.1803","18.8253","20.8287","22.4940","28.4886","30.3182","27.3290","22.5244","24.2963","24.8623","19.8192","22.1908","21.2874","21.8523","23.1972","25.4989","28.5553"
