"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",0.0000,"23.5416","18.1923","21.4563","16.7371","21.4403","18.0987","18.1510","16.5236","20.8187","22.2587","24.2890","25.9091","20.7630","14.8903","15.5089","15.3361","13.8364","11.7123","11.6863","11.7131","12.8991","13.6868","17.3661","25.1235","19.4439","15.5090","13.0087","17.2026","13.3719","11.0000","11.0000","11.0000","11.3316","12.2838","13.4008","25.2995","18.3604","15.3647","11.0000","11.0000","14.6141","11.0000","11.0000","11.0000","11.0000","12.6894","13.2299","18.3644","16.7843","12.8305","11.4734","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1584","19.6711","16.1477","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7642","12.6388","19.1640","12.8124","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1837","19.2928","21.6843","16.8684","14.6629","12.9581","11.0000","17.4140","11.0000","49.5646","11.3406","17.1226","21.8197","25.2298"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",0.2500,"25.2816","21.6458","20.9027","15.8138","17.6669","18.7878","16.9076","15.5584","18.4327","23.4204","23.4395","24.3578","22.5810","19.3623","18.0167","13.8362","16.0969","13.3707","14.9378","12.9775","13.2932","11.3361","18.3055","22.0841","19.7775","15.3950","13.1684","14.5665","14.0694","11.0000","11.0000","11.9767","11.0000","13.5351","16.1581","23.5394","21.4678","13.8185","11.0000","11.0000","15.7163","11.0000","11.0000","11.0000","11.0000","11.9353","11.7859","22.7499","19.7721","11.7041","12.2343","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3038","20.0558","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2763","15.9021","17.0502","18.7691","11.0000","12.4336","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8566","20.8796","20.9188","15.6991","14.5380","13.5789","11.0000","18.4233","11.0000","50.0010","13.2981","21.1985","22.0050","25.9472"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",0.5000,"24.2479","23.6385","21.4315","17.6383","18.3188","18.6693","17.4380","19.7974","18.9746","21.6698","22.7713","26.8629","23.5546","18.4427","20.3692","14.0023","16.0545","16.0957","16.5978","13.5713","15.0824","13.7202","18.2309","25.7010","22.9744","16.4409","15.7462","21.8903","13.9252","12.1945","11.7718","11.7049","15.3564","15.3319","16.5335","24.6812","21.6706","20.5248","15.0281","11.9990","20.6223","11.0000","11.0000","11.0000","11.0000","13.6549","13.3549","24.0502","21.1418","11.0000","11.2851","11.5359","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3182","17.0235","11.0000","11.6814","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2890","12.3423","21.5516","17.0719","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3799","22.6713","25.7262","20.9113","17.0665","17.0007","14.1462","25.4663","11.1903","55.9307","15.0405","22.4035","26.0488","29.6370"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",0.7500,"25.5098","21.8921","21.5537","18.1809","19.9024","18.5607","20.5331","19.5852","19.2222","24.5800","27.4631","28.4466","23.7809","16.3477","17.6837","16.2081","16.5238","14.5038","13.7450","12.6400","15.4376","15.5512","17.7149","23.0778","21.4315","18.4326","14.6901","20.2243","13.7718","12.2859","11.0000","13.6248","14.8148","15.4517","17.9267","26.0642","19.0686","17.0478","11.0000","11.0000","20.5811","11.0000","11.0000","11.0000","12.3600","12.2986","15.4001","22.0038","18.7082","11.0000","11.0950","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5006","11.9162","20.8892","21.9733","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4708","15.2494","20.6935","17.2208","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5568","18.3354","21.3781","27.7984","18.9344","20.5728","17.4672","14.9048","27.6113","11.0000","54.9709","16.1317","24.8305","25.2133","30.2724"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",1.0000,"26.0366","23.7833","21.9339","20.4398","18.4287","21.4428","20.4534","20.2814","19.4044","24.4406","28.0931","28.7703","23.6147","18.2586","18.2320","16.4918","16.8763","16.3401","15.0150","13.7859","13.1070","16.0584","18.1946","26.2228","23.0255","17.8995","14.0248","24.6878","15.4686","12.1923","12.2040","11.0000","15.2038","15.4476","19.4465","27.9490","25.0348","15.8527","13.6330","12.3397","20.7726","11.0000","11.0000","11.4303","12.9053","12.7864","15.4309","24.3280","21.1515","12.7951","11.1903","11.0000","11.0000","11.0000","11.0000","11.0000","11.3336","11.0000","14.3791","19.9018","19.0443","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9027","15.8537","20.1831","17.4862","11.4674","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6519","19.4152","23.2531","26.6707","18.0549","13.4996","17.9302","13.8364","25.6041","11.0000","49.7544","14.8880","24.9115","30.2617","28.7725"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",1.2500,"27.1352","24.4535","20.7677","20.8992","19.2636","19.0605","21.4411","19.5433","20.3209","25.8324","23.5418","28.7133","23.5617","13.1995","18.5707","17.4624","16.4833","11.4620","11.6246","15.1639","14.9522","13.6337","17.2333","25.6229","23.5738","15.4312","12.7141","23.1983","11.0000","11.2759","11.0000","11.8865","12.6556","16.8473","15.9527","25.5912","21.1072","19.6849","14.4991","11.0000","19.3572","11.0000","11.0000","11.0000","11.0000","13.5023","16.2436","23.5212","20.6706","11.3218","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4883","20.8143","18.4510","11.6556","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3523","13.0994","21.3990","20.8596","11.2000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2811","11.0000","11.0000","14.0405","21.8278","26.5019","18.9835","15.9527","19.7282","12.8915","24.0851","11.0000","51.5440","16.9015","20.5123","23.7485","30.1495"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",1.5000,"24.4165","25.3609","22.4881","22.0026","20.8656","22.2835","18.9736","19.5416","18.8588","25.3627","24.7027","31.2098","22.7300","18.8886","17.6041","15.8208","17.6151","15.3462","16.4666","13.5027","13.5828","16.3034","16.4971","27.8436","23.7208","15.8935","14.6670","19.2042","14.3674","13.0833","11.0000","11.0000","12.2381","12.3805","17.5898","27.1265","21.4877","14.4841","15.1764","11.0000","19.5950","11.0000","11.0000","11.0000","11.2730","15.1007","16.0330","26.1219","21.9210","12.0636","13.0299","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5964","22.1819","22.0044","11.0000","12.9820","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8213","16.3675","19.6868","16.3150","11.0000","11.6705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3350","19.5794","21.3355","23.7833","22.7119","24.2121","19.8787","11.2629","25.8144","12.3326","55.5986","18.7827","23.4696","30.0099","30.6209"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",1.7500,"25.5807","25.2390","21.2231","18.6028","20.0687","18.6577","20.4271","22.1127","19.3824","21.8284","25.9074","29.4860","23.5546","17.3479","19.1654","16.2176","17.4032","14.3345","12.5287","16.4759","12.2587","16.0577","17.3136","27.5612","22.0617","14.7342","13.1443","21.2275","13.0468","14.4610","14.8238","12.1624","12.2972","15.0094","20.4764","27.2909","23.3368","17.0768","11.0000","12.1865","19.6466","11.0000","11.0000","11.8917","14.6035","14.8466","15.9915","25.0695","18.7429","11.0000","12.0470","11.0000","11.0000","11.0000","11.0000","11.0000","11.6973","11.0000","11.1833","21.1049","22.2881","11.0000","13.4983","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3195","14.3465","21.2827","18.4210","11.0000","11.3018","11.0000","11.0000","11.0000","11.0000","12.5956","11.0000","11.0000","17.2835","23.6627","23.7260","18.2888","17.8856","16.5029","11.0000","25.3945","11.0000","47.8590","15.1932","21.5302","27.7359","28.0618"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",2.0000,"26.0646","23.6648","24.8452","22.9037","18.4361","20.8673","21.6406","20.2882","19.7613","21.8919","29.5037","29.0399","24.2518","16.2070","16.2507","17.3424","14.6883","14.2057","13.9302","15.0937","15.6602","14.6458","18.1166","27.1939","20.2608","13.7496","15.1167","20.4486","14.9896","11.9749","11.2165","11.8876","11.6037","12.9710","17.8786","29.5726","22.0716","17.8926","12.8597","13.7612","18.7904","11.0000","11.0000","12.5375","14.0621","16.5631","15.6700","26.8206","19.4363","11.8380","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5759","11.0000","12.3132","20.7151","20.7406","11.2618","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3956","13.8574","19.7629","18.7084","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0120","23.6121","27.6042","19.9650","22.2472","21.5277","15.3354","24.2057","11.0000","55.8016","17.1102","22.4475","31.9708","30.9256"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",2.2500,"26.3010","24.4151","29.0131","25.8221","20.6618","22.3861","22.5109","20.9919","23.6401","26.3822","32.1604","37.7749","23.3694","19.8779","19.7436","17.3696","14.9099","16.5139","16.2415","17.5851","13.6992","18.4293","18.7748","27.9249","24.4604","20.0458","17.2657","21.4617","14.5650","15.2225","17.5199","12.1960","14.5527","15.1599","24.8392","35.0641","23.4233","18.1105","16.2749","19.5000","22.8644","13.5765","11.5604","12.1739","19.4423","20.9996","16.8385","28.6520","23.3110","16.6353","11.5397","11.0000","11.0000","12.9931","14.3406","11.0000","12.7273","11.0000","12.4073","23.3766","22.8046","11.0000","13.1358","11.0000","11.0000","11.0000","11.0000","11.5581","11.0000","13.2385","15.9186","24.0719","17.4748","11.2677","12.1100","11.5477","11.0000","11.0000","11.0000","11.0000","11.0000","11.1555","18.7355","21.3154","27.5343","19.4857","18.2705","17.0667","11.0000","21.5350","11.0000","50.3554","16.1231","23.5725","28.6297","32.4263"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",2.5000,"26.8487","24.5512","29.8316","31.0420","19.6291","23.3664","17.9693","17.0990","23.4798","24.9172","39.4667","35.2703","24.4387","16.2244","18.7480","17.9098","16.2959","12.4840","12.5581","18.4128","11.4626","19.6922","17.4766","27.3787","22.1603","16.2861","13.6570","19.4776","11.9809","13.0520","20.0307","11.4901","12.0903","14.1962","20.8999","38.9465","20.6704","15.2895","15.4956","21.1108","21.0246","13.5612","13.9916","12.4871","26.0812","20.1969","20.5817","30.0204","19.8243","20.3400","15.1422","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5411","20.0906","21.7375","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1580","21.6695","18.1563","11.0000","12.8107","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7356","24.5820","25.9911","22.3411","17.9014","14.7226","14.9771","24.9534","12.6818","49.0777","16.3277","19.1719","27.2653","28.9326"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",2.7500,"29.1929","26.8178","32.3944","33.8988","21.6678","23.2537","26.8948","21.2939","27.1274","24.8903","41.6387","44.1448","24.4944","17.4857","19.5846","24.7485","17.4802","16.0771","17.1901","19.1820","15.4782","22.3004","18.4518","35.4232","22.3515","18.3486","17.2219","21.0321","13.4782","16.0334","24.9552","14.9700","14.0804","15.7807","25.7839","46.3050","25.1191","25.5390","19.4244","26.5599","19.0567","20.1751","21.4173","20.7213","33.3620","27.5921","26.3709","39.3613","22.2160","27.6228","15.7664","13.1513","11.0000","16.5349","19.6206","12.8801","13.5169","13.1828","16.3844","26.2916","22.7581","14.4134","14.5352","11.9599","11.0000","11.0000","11.0000","11.0000","13.1079","13.4832","18.1916","22.5402","19.1969","14.4795","14.5486","14.8104","11.0000","11.0000","12.5714","11.4065","12.9349","12.3617","22.4922","23.2070","25.0626","15.7988","12.1269","15.4631","12.1358","11.4309","11.1273","38.5157","15.6159","20.5555","27.7392","30.4938"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",3.0000,"27.4800","28.0119","39.5486","44.4876","21.6627","27.7183","27.5471","25.0265","31.9353","27.8536","44.4471","48.3047","27.2591","21.1998","21.6051","25.4512","19.6192","20.7460","17.1955","23.0088","16.6708","24.5535","20.5378","30.5322","24.1928","18.9308","16.8469","22.8409","16.4123","18.7395","26.2461","13.7109","14.6482","16.3215","31.4566","52.9588","24.8846","23.5203","21.3500","27.7928","24.6614","19.6779","25.2802","21.3351","36.8677","28.4956","29.2892","41.4043","23.5794","31.8509","19.9126","15.2831","11.0000","17.7975","20.1051","13.4700","11.7601","14.3897","14.5147","31.8682","26.9600","11.0000","11.1304","11.0000","11.0000","11.0000","11.0000","11.4651","13.6284","15.4491","18.8485","24.9233","16.5639","11.6040","13.4066","12.4156","11.0000","11.0000","11.0000","11.0000","11.0000","14.0386","26.9936","24.0624","32.0257","22.0636","18.8170","20.0286","12.6315","26.0151","15.4373","47.8756","17.6392","23.2566","34.2078","33.1141"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",3.2500,"26.7493","30.9251","44.4707","47.1843","23.8104","28.5094","30.7414","24.6591","34.0523","28.2447","51.1807","51.3208","25.4676","20.4560","26.1907","29.1608","17.1677","21.7006","18.3640","28.2882","17.8914","26.8787","19.6634","31.6616","25.8042","19.0212","18.6269","21.9625","17.5811","18.2143","29.0069","14.8319","14.6875","15.5149","32.6892","56.4069","26.2871","27.3174","20.8273","31.9629","22.8680","23.9262","28.7135","21.5380","43.9833","33.6739","28.5186","46.6167","25.3949","35.7383","15.3713","11.5379","11.0000","19.8099","23.7976","17.8241","15.7749","13.8542","14.2134","31.4766","26.0277","12.4769","12.1069","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5369","15.0708","23.1792","17.3367","11.0000","15.4783","11.0324","11.0000","11.0000","11.0000","11.4381","11.0000","12.1172","28.6753","24.6716","32.2552","17.8395","16.9733","17.7590","15.3698","23.9904","13.9580","45.8133","18.9855","21.6642","36.2361","35.2089"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",3.5000,"31.0526","32.3139","45.8114","51.2549","25.0687","28.6190","32.1019","24.1566","35.5557","27.7638","49.9776","57.7151","23.2619","17.4053","27.8994","31.2747","15.4123","21.7700","16.3861","31.1631","15.3948","27.4859","22.0282","33.3207","20.1903","21.2688","17.1881","22.2421","18.0793","19.3978","30.3505","13.2626","15.2398","15.9015","34.6529","55.7947","27.3034","28.7330","26.0716","36.5381","18.9797","24.0334","32.9165","24.1504","46.9478","37.4454","32.3270","52.4671","23.4869","39.3419","13.7284","12.9617","11.0000","22.6173","25.2773","13.9076","11.0000","12.3804","15.8861","34.5881","27.1409","11.0986","11.0000","13.3318","11.0000","11.0000","11.0000","11.1861","11.0000","11.0000","15.1244","22.1889","18.0716","17.1450","13.7486","12.1898","11.0000","11.0000","11.0000","11.0000","11.0000","11.1246","29.8389","24.4682","34.7308","13.5188","14.3858","11.8524","11.0000","12.7072","11.0000","33.2001","14.2900","20.0192","35.8625","30.7592"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12B_SAM129320_STEC-O157_MBT_8_33_MBT_462_2#14#2023_A_21B_33.OKA","2/14/2023 1:49:51 PM","21-B","PM08","TT12B","SAM129320","STEC-O157","MBT",3.7500,"28.5385","34.1449","49.9412","58.7434","24.0667","30.5766","33.6442","29.7146","38.6124","27.1123","52.3452","57.9164","24.0674","19.1814","30.5627","31.4823","20.9279","24.3623","20.6619","32.9517","15.0576","30.6130","20.3995","34.2443","21.8780","16.8947","22.6873","22.6387","18.4160","18.9345","36.7389","14.8181","15.5897","16.6762","38.2687","61.3321","26.5359","30.0178","25.8249","37.2900","25.0336","28.1761","34.9134","25.8781","51.4054","42.5925","35.2194","54.4195","23.6918","39.1016","17.3131","13.2968","11.0000","23.5662","25.0927","15.9982","11.0000","13.4865","15.9163","37.1520","29.3156","13.1977","12.2682","11.0000","11.0000","11.0000","11.0000","11.0933","12.7094","13.3401","18.0263","23.3870","19.0404","11.7009","13.0787","11.0000","11.0000","11.0000","11.0000","11.2817","11.0000","11.6518","33.2547","26.0007","44.7236","21.4447","20.5582","19.4028","19.0384","24.6328","12.4668","50.2138","17.2972","23.0182","39.5000","36.1764"
