"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.0000,"20.8150","19.4108","17.9390","13.7613","15.0709","18.9339","19.1574","18.7552","16.7386","24.5043","28.1066","27.4608","22.3868","16.8393","17.0203","11.0000","17.5593","16.9447","15.6111","16.1253","12.8385","14.1757","15.9986","27.8081","20.5492","19.5305","16.7251","12.9522","13.3828","11.0000","11.0000","12.9591","11.0905","13.3944","18.0602","29.0488","19.1916","19.5250","15.1667","11.0000","11.8721","11.0000","11.0000","11.0000","11.3026","13.6910","12.8090","28.5224","16.3696","14.2285","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3331","12.8401","11.4908","18.3342","15.3964","12.9450","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3245","12.4902","18.1155","13.2695","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5879","22.0993","17.5159","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1790","11.0000","11.0000","23.0796","21.7028"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.2500,"22.4749","17.7399","16.0337","11.0000","13.0760","16.5477","18.6254","17.5013","15.4941","19.5371","31.4433","26.9633","20.6484","19.5234","14.2206","16.4991","16.3110","13.3455","17.3604","15.8384","11.3079","13.3169","16.6224","26.2002","19.1667","15.9589","14.7799","11.0000","12.8028","11.0000","11.0000","11.0000","11.0904","11.8986","17.1927","25.8199","17.5615","17.1934","14.6919","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1982","29.5463","15.7486","11.0000","11.3827","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3493","12.3760","16.5538","13.7095","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7711","11.0000","16.7645","15.3863","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5196","18.8753","17.4962","11.9575","11.0000","11.0000","11.0000","11.0000","11.0000","16.2575","11.0000","11.0000","19.5650","21.9196"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.5000,"23.3438","18.0814","17.8728","11.0000","17.0710","16.6892","21.8399","19.5833","18.6967","21.6652","31.7460","25.7407","20.3468","18.6792","13.2818","11.9300","15.3497","15.9884","18.8784","19.8406","11.1840","13.4399","15.8907","23.1663","21.4367","17.9527","15.4093","12.0190","13.5036","11.0000","11.3710","11.0000","11.0000","13.0333","21.0159","28.8674","18.6954","15.0778","15.2233","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5146","13.2677","30.4017","13.3147","12.8107","14.5443","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4721","15.6723","16.5096","11.0000","11.5552","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5668","13.8661","17.2029","14.8173","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5233","17.3167","21.0224","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.1450","11.0000","11.0000","20.2656","21.7165"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.7500,"20.0603","18.9248","13.8698","11.0000","16.8981","14.3816","18.5569","17.2021","17.2981","21.4450","31.5680","29.0067","19.6813","17.5806","14.4304","13.7403","17.7633","15.2296","16.2770","18.0957","11.0000","15.5738","14.9685","31.3372","18.8883","17.7907","13.8724","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3034","19.0627","32.3930","18.6038","15.2519","11.0000","11.0000","11.0000","12.1050","11.0000","11.0000","11.0000","11.1519","12.0616","32.7794","12.6406","11.1617","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3565","17.5641","11.7321","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4765","12.7674","15.6309","12.8608","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9767","18.3373","21.0803","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6598","11.0000","11.0000","19.5859","21.6718"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.0000,"22.1107","16.4606","15.0077","11.2415","16.1759","15.8666","17.0284","20.9745","18.1318","21.6652","32.3458","34.1339","20.9665","16.2014","16.0789","13.5669","14.0422","14.7131","17.4327","15.8359","11.0000","14.4351","18.3499","32.0591","18.5415","18.9135","17.2549","11.0000","14.5162","11.0000","11.0000","11.0000","11.7856","13.9190","20.0239","33.6083","17.5830","13.1453","12.7851","11.0000","16.1722","11.0000","11.0000","11.0000","11.0000","15.5490","15.2430","40.3904","16.1461","11.6184","14.2069","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2195","11.7696","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9019","13.2046","17.8198","13.3477","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3531","19.4055","18.6347","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.1140","11.0000","11.0000","20.7585","25.2867"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.2500,"29.4382","18.6796","16.1085","15.4578","18.6459","19.3736","16.2423","17.9894","18.8127","19.9983","31.3710","50.1416","19.3275","16.7278","13.3731","11.0000","16.3129","16.9967","14.8094","16.5517","11.0000","15.7825","18.3323","35.8894","19.8225","15.7515","14.2832","11.7764","11.0000","12.8030","11.0000","11.0000","11.6638","15.3126","19.8819","37.6373","18.0933","18.2529","13.8014","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7656","16.9513","50.6209","12.9367","13.1321","13.5227","11.0000","11.0000","11.0000","11.0000","11.0000","11.5149","11.0000","14.6406","19.6038","16.0469","12.8614","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4703","15.3871","18.8099","15.8350","13.0557","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3555","22.9209","14.1204","11.2756","11.0000","11.0000","11.0000","11.0000","11.0000","24.3149","11.0000","11.0000","19.5189","23.4588"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.5000,"21.3097","15.5712","15.0404","13.3219","14.0040","14.4558","17.8286","17.1732","16.7415","18.3843","32.0619","29.9342","23.5530","15.7655","15.4827","12.0862","14.8283","13.7240","17.0000","18.9003","13.2404","14.7289","16.7699","26.9041","20.8420","17.1959","14.0014","11.4982","11.6742","11.0000","11.0000","11.0000","11.0000","14.3262","19.8037","31.3123","16.8762","14.7538","12.9661","11.0000","11.0000","11.0000","11.0000","11.0000","11.7284","16.2099","17.4592","46.1113","17.3772","11.0000","11.3819","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6956","12.5016","16.6027","14.1240","12.3894","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4649","13.0991","15.7606","15.2327","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2506","19.5208","17.5775","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7622","11.0000","11.0000","18.2525","23.9185"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.7500,"27.4552","20.7886","14.4941","15.5530","20.0166","17.5243","16.3485","17.7475","16.9493","20.1468","27.3890","44.6506","21.6553","11.9325","12.1093","11.0000","12.9346","14.5167","16.3486","15.9530","11.0000","13.0820","13.1630","33.0964","18.8400","15.9184","11.5512","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2308","19.7735","30.6921","13.6994","14.1780","13.2727","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6727","14.1603","51.4218","12.0629","11.9126","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8178","13.3648","11.4324","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2786","11.0000","14.3385","11.0000","12.4568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8558","20.1404","11.5589","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.4015","11.0000","11.0000","16.6683","18.1027"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.0000,"20.1193","18.0127","17.4072","11.0000","16.6842","17.8320","17.8291","19.9410","18.1397","19.8438","31.2660","29.7703","20.9589","15.9829","14.4588","12.6720","16.9944","15.9563","20.3551","20.0498","11.0000","13.0196","17.0631","30.0344","19.1912","17.9888","14.1304","11.0000","12.6493","11.0000","11.0000","11.0000","11.0000","13.1924","20.3960","30.7061","19.5276","14.5977","13.1851","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6078","18.8552","36.8709","13.0659","12.0094","11.6047","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1538","17.6439","16.0944","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0556","12.9557","15.6848","13.9782","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6561","19.9049","22.0888","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.0108","11.0000","11.0000","22.3105","25.6901"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_12_33_PMX_462_2#22#2023_A_14B_9.OKA","2/22/2023 4:35:28 PM","14-B","PM12B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.2500,"25.0928","17.1521","15.5403","11.6335","17.2697","20.1938","21.4781","20.7189","18.2807","19.6905","29.7419","34.4189","21.7805","18.5706","17.5441","14.5849","15.1518","15.4698","17.8961","19.5483","11.0000","15.7402","16.6716","31.2049","16.9962","19.5073","13.4779","11.1239","12.3188","11.1528","11.0000","11.0000","11.0000","15.6140","21.1578","29.6530","16.0816","18.7803","14.2688","11.0000","11.0000","11.0924","11.0000","11.0000","11.0000","14.8471","18.1115","38.9969","15.9437","14.2287","13.2978","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6558","13.6918","17.7173","14.7534","14.1791","12.0114","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9237","13.6246","14.9255","13.2424","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2073","21.3767","16.9467","11.0000","12.8221","11.0000","11.0000","11.0000","11.0000","21.0406","11.0000","11.0000","20.2828","25.3075"
