"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.0000,"30.7602","37.7774","14.6658","11.0325","22.2320","11.0000","11.0000","11.9720","12.2805","11.0000","21.1110","22.7122","27.6284","20.8321","11.2992","11.0000","11.0000","11.0000","11.0000","28.8509","15.7349","16.9736","19.8144","20.8033","23.5339","20.2231","12.8585","28.2015","11.0000","11.0000","11.0000","20.4927","11.0618","14.8732","21.8454","30.4565","25.7094","17.3798","11.0000","11.0000","11.0000","11.0000","11.5308","11.0000","14.1207","21.1139","17.6770","24.9879","26.6294","20.9077","12.4235","16.7018","11.0000","16.8800","11.0000","12.7352","18.7803","18.0452","17.2843","26.1244","28.1777","15.7625","12.9286","14.7137","18.1557","13.7080","14.1578","16.3113","14.8197","22.0410","21.3860","25.6374","31.1641","20.7536","17.1504","16.2888","16.0864","19.2720","13.9009","17.4738","23.0760","17.2083","19.0007","25.1809","33.2495","30.7370","26.3537","23.2576","22.2824","50.9456","20.4879","21.3890","17.9280","22.1900","28.8672","30.1754"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.2500,"32.3786","43.9506","16.2041","11.0000","11.0000","11.0000","11.0000","11.0000","11.5003","11.0000","21.3261","26.0445","31.3682","25.3009","15.7063","11.0000","11.0000","11.0000","11.0000","28.4409","15.7420","12.1014","17.4558","20.7540","27.6175","18.5090","12.1769","30.3603","11.0000","11.0000","11.0000","14.8241","12.8492","15.4268","17.4878","23.9863","21.3144","17.3280","11.0000","11.0000","11.0000","11.0000","11.0000","11.6809","11.1228","15.4651","15.2400","24.2438","28.7057","21.0118","13.1144","11.0000","11.0000","16.0595","12.3970","11.4958","15.3934","23.5818","16.9684","25.2995","26.9913","20.2118","14.9159","16.2515","17.8069","12.8755","11.4651","17.0957","16.6589","18.7496","18.3710","26.2581","30.4613","19.5063","16.1404","13.6128","15.0630","19.8947","14.3309","16.8616","17.0812","19.7186","19.4919","25.1282","32.1122","26.5739","27.0595","20.0021","23.4661","49.8145","21.8426","20.5427","20.9941","26.1074","25.9840","30.3808"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.5000,"32.0818","35.6697","12.0594","11.0000","11.0000","11.0000","11.0000","11.9392","11.0000","11.0000","19.5986","25.1390","32.0976","22.6165","12.6016","11.0000","11.0000","11.0000","11.0000","29.9512","15.8539","13.6948","16.5380","22.7484","25.7503","16.6783","13.6400","26.4510","11.0000","11.0000","11.0000","14.2037","11.8951","14.0421","18.7060","23.5594","26.0492","13.7836","11.0000","11.0000","11.0000","11.0000","11.0000","12.6084","11.0000","14.8887","17.4083","23.6460","28.5578","18.6512","14.8811","11.4093","11.0000","13.5707","11.0000","12.9853","15.6186","15.1072","17.5542","23.0412","25.6970","21.6722","15.0785","11.8082","15.0143","14.0708","11.0000","13.4738","15.9827","19.6308","20.5334","26.6843","29.6180","18.3357","17.1491","12.8191","16.8349","13.1186","15.9466","14.7105","17.4940","18.8865","19.1343","24.0863","30.3433","27.1441","26.7374","24.0215","22.4239","49.5968","19.9351","21.8185","22.0027","23.4477","27.7391","30.9294"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.7500,"21.4835","26.1172","11.0000","12.1058","11.0000","11.0000","12.1735","11.0631","17.0906","11.0000","19.5322","24.8045","16.3374","11.3771","11.0000","11.0000","11.0000","11.0000","12.5433","34.2718","11.6564","13.5209","18.1787","21.3491","20.0475","13.8360","11.0000","28.9794","11.0000","11.0000","11.0000","11.9339","16.6985","15.9602","19.1309","25.0361","17.3080","11.0000","11.0000","11.0317","11.0000","11.2188","12.7209","11.0000","13.7094","12.8864","16.7395","27.3278","23.6062","15.0844","14.2180","12.5712","11.0000","15.1343","12.1508","13.7597","14.9725","15.5596","17.4719","22.3244","23.9975","16.3666","17.0917","12.4590","16.1840","11.5271","11.0000","12.1435","16.1714","19.0148","19.8784","25.7390","30.4026","15.9020","14.7988","13.5534","16.2823","12.6169","17.2376","17.0498","17.0004","15.9740","17.3131","24.0998","32.6337","27.8379","25.0383","22.8190","22.0121","49.2886","23.9253","21.2295","21.3942","21.6438","27.4971","28.2127"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.0000,"32.4890","39.0823","14.7034","11.0000","11.0000","11.0000","11.2222","11.0000","12.5707","11.0000","16.9256","24.3947","29.6228","16.7847","15.6243","11.9073","11.0000","11.0000","11.0000","32.5559","12.7172","14.1825","17.3405","23.0033","23.3748","16.1569","11.0000","28.1545","11.0000","11.0000","11.0000","13.2424","11.0000","17.8749","15.5038","25.2541","25.7185","12.7415","11.0000","11.0000","11.0000","11.0000","11.0000","11.2793","14.2881","12.5726","18.4186","22.9714","29.8112","12.4708","15.4963","11.0629","11.0000","13.0768","11.0000","11.0310","13.6388","18.6265","16.8403","20.8738","24.1173","16.8076","15.1099","13.5251","16.9389","11.8014","11.0000","12.3319","15.6609","18.2363","20.0001","18.9689","31.5162","19.7583","19.2960","11.9268","15.5037","15.6655","14.5469","15.7415","12.9461","18.9836","19.5019","24.9550","32.7374","27.4514","21.9640","22.2511","24.3820","49.3746","19.7684","20.4543","20.9144","26.7903","28.0979","30.4987"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.2500,"28.2068","31.5938","11.0000","13.0843","12.3334","11.0000","12.1422","11.4099","18.5988","11.0000","23.2647","28.3651","23.5604","12.3776","11.0000","14.2106","11.0000","11.0000","11.0000","35.5618","13.4903","13.6805","20.4135","25.1845","20.0411","14.6513","15.3045","30.1586","11.0000","11.0000","11.0000","14.8213","16.9079","18.9071","16.8542","28.4954","19.2326","11.0000","11.0644","11.4780","11.6346","11.0000","12.7845","11.0000","15.7205","13.1082","17.3009","25.5651","24.8601","17.4251","15.2690","17.6357","14.5495","13.7920","12.8412","14.3465","17.1856","17.8934","17.9861","25.3156","22.7345","18.2787","18.5660","13.7969","20.2212","12.7630","12.4286","16.2132","17.8899","19.2215","19.7451","25.5362","28.4720","20.2963","19.5721","15.8037","15.5709","15.4655","15.4704","17.8926","18.8646","17.6352","24.3734","27.9452","31.1177","30.8185","26.2394","22.8140","25.7692","53.6871","22.7513","22.0629","21.8845","23.7999","30.7689","33.7417"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.5000,"37.4356","44.7640","22.6527","14.5953","12.2725","11.0000","11.0000","11.8499","18.1789","11.0000","20.7541","27.6970","33.4735","26.2594","20.7867","15.5206","11.0000","11.0000","12.5119","28.8858","14.4459","15.1571","18.8618","21.8223","30.4141","20.6229","20.2477","29.8395","11.0000","11.0000","11.7228","14.3708","14.7949","18.0171","18.8348","27.7257","29.8297","15.4243","11.9045","11.0000","11.0000","11.0000","11.0000","11.8410","16.1657","15.8099","17.0339","24.6476","35.2361","14.9866","13.7674","11.1583","11.0000","15.7294","12.6855","15.1770","17.7553","19.3132","16.4696","26.1285","27.9663","18.8639","19.2566","14.1772","20.1918","15.0199","12.4309","13.5462","17.8811","20.1656","22.3407","27.8136","32.8356","24.3569","23.0684","16.7941","20.4295","18.9416","15.7781","17.3660","24.2089","21.8284","20.4375","29.1629","34.7388","32.9170","28.9432","23.8779","25.2083","54.3661","23.5093","22.8118","24.4472","30.6927","31.4793","34.3404"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.7500,"28.1447","30.7877","13.8295","13.2641","19.7612","11.0000","12.6847","15.1657","26.4676","11.0000","23.4153","26.9860","24.7282","17.5179","16.0452","17.4257","11.0000","11.0000","18.9691","34.4143","21.6779","15.6797","20.7975","26.0345","22.5410","20.3621","17.5369","32.6292","11.0000","12.4313","11.2210","19.5454","17.2491","25.7885","19.8806","31.5689","20.6598","13.4316","12.0307","14.1210","11.9869","14.5414","12.3498","15.8461","15.7756","19.7940","20.6939","26.7764","24.9865","15.6464","15.3471","15.1679","15.2913","12.9605","17.1084","18.6384","19.6747","20.1384","17.9754","27.2805","21.9621","20.1754","17.7970","19.5025","21.9313","19.2760","11.0000","19.2678","17.9556","18.6436","22.5437","26.4251","31.0667","24.4118","27.4913","21.2121","25.9026","23.4194","18.7650","19.7671","25.9337","21.9663","24.0429","30.4111","34.5064","39.8992","34.8346","26.9597","25.5325","53.0374","24.4005","21.6489","24.5541","29.0288","29.4756","32.3419"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.0000,"26.2222","33.5893","13.0934","25.3134","25.0146","18.1869","11.3192","15.0808","36.1729","11.0000","25.6787","28.1143","31.9581","21.4418","20.6385","20.0640","11.0000","11.3541","23.0859","35.9317","25.3367","20.7752","24.1485","26.3194","24.6174","25.9889","22.8778","33.5786","16.6172","15.6168","14.5304","25.7379","17.0406","28.1072","21.4141","31.9021","21.9008","18.2424","12.3234","14.3156","16.2047","21.7227","11.0000","18.4207","19.9277","25.1614","20.7984","31.6643","24.4673","14.2590","18.5255","17.1434","17.2458","16.6139","21.0485","27.7547","29.7850","20.8259","20.1067","28.4774","25.1241","17.4145","20.9883","17.1052","26.7453","24.1427","11.6258","22.4242","24.9815","19.6478","23.7312","29.3282","31.5742","27.1025","31.6907","24.4266","31.4150","31.5871","23.8788","27.4712","29.0838","22.5076","28.5210","35.5807","34.6920","46.9008","39.7232","26.8290","28.0195","51.0272","32.7261","26.0333","27.8127","26.8805","28.5139","34.4108"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_1_33_PMX_462_2#22#2023_A_19A_18.OKA","2/22/2023 4:35:28 PM","19-A","PM01","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.2500,"41.4093","50.7587","26.8875","32.0493","33.5282","25.6989","12.6463","18.6345","46.2028","11.0000","25.3435","27.6239","49.7797","43.0612","43.7565","29.2406","17.4947","11.0965","34.8103","41.6846","37.8660","22.6344","23.0871","28.5221","32.5878","40.7918","37.8293","39.5192","25.9557","21.8292","12.5203","33.5749","20.0038","38.4633","24.8284","36.4071","34.1777","29.6631","18.3955","20.4663","23.6117","29.0971","14.2897","24.7457","24.8971","28.5708","25.5421","34.5845","38.6356","19.2306","20.7526","16.0216","24.1768","19.4640","28.8372","32.7544","38.5966","31.8534","24.0026","34.5401","30.7934","24.7249","21.1834","18.9303","35.5762","33.0427","15.3866","32.3229","28.3757","25.1318","31.7094","36.4127","32.4031","39.6457","42.7661","27.1673","42.7091","41.7715","29.9113","37.8597","38.6362","25.7889","34.4051","45.8794","39.9990","56.3516","49.9089","29.7535","37.3342","58.9839","39.6043","27.6448","26.9138","36.4745","33.8744","34.1917"
