"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",0.0000,"16.4107","13.5232","11.0000","11.0000","11.0000","11.0000","11.0000","70.1258","11.0000","11.0000","19.4360","23.3878","22.8928","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6343","16.9813","12.7932","11.9387","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3486","15.8250","29.8255","12.1421","11.0000","12.7549","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8454","15.7823","22.6651","18.6000","11.6757","11.0000","11.0000","11.0000","11.0000","11.0000","11.6175","11.0000","18.3846","21.3484","35.9750","22.6178","14.6562","13.6394","11.0000","13.4471","11.7061","11.0000","13.3506","11.0000","14.8578","14.3129","25.3712","32.6339","17.3818","17.2866","14.6694","35.2631","46.9751","48.8453","52.7149","12.1523","15.3683","16.5110","16.1175","32.1191","30.5536","27.7615","32.1234","21.6424","20.0088","16.7936","14.9032","19.1677","18.6506","21.1117","22.9134"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",0.2500,"19.8442","18.6998","11.0000","11.0000","11.0000","11.0000","11.0000","74.7859","11.0000","12.5146","18.1439","21.7760","30.8063","12.4669","11.0000","12.2502","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2361","17.9012","16.6736","13.0417","11.0000","11.3200","11.0000","11.0000","11.0000","11.9625","11.1847","15.9038","20.9573","33.0717","19.7349","11.0000","11.0959","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5392","21.5551","23.6052","26.2291","14.2667","11.5979","11.0000","11.0000","11.0000","11.4033","11.0000","12.2821","16.7872","25.5480","42.9938","29.3839","18.0755","15.1223","11.7412","13.6278","11.2764","11.0000","11.0000","12.8610","17.0078","15.5880","29.7242","32.5879","21.1317","19.5633","20.3797","37.1355","47.8282","48.3661","57.5135","11.2809","13.1912","17.2637","20.2259","35.1408","31.6400","34.0140","35.6355","24.9056","20.6343","17.0934","17.1005","17.5152","19.9424","23.2038","24.7010"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",0.5000,"23.7894","14.5170","11.0000","11.0000","11.0000","11.0000","11.0000","72.0229","12.7433","14.2328","16.7758","23.1463","27.2716","15.3246","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3970","12.0170","16.8914","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8040","12.0761","11.8333","19.6665","30.2922","26.5802","16.8206","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5249","17.6314","41.9015","25.7607","13.8146","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3036","28.5918","58.8660","32.8634","15.1277","13.3227","11.0000","11.9199","11.0000","11.0000","11.0000","11.0000","14.1851","14.6503","29.5166","35.4542","22.6696","16.8760","16.0841","33.7717","42.1904","47.9770","53.5983","11.3441","17.0421","14.5738","19.7736","36.2308","34.9382","34.1189","40.5164","22.2042","19.6881","14.9141","15.0624","18.7872","20.4229","21.9711","24.5849"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",0.7500,"23.6429","17.5502","11.0000","11.0000","11.0000","11.0000","11.0000","78.1481","11.0000","14.1667","18.8925","24.3172","32.2164","14.3803","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7919","18.7294","18.7666","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9823","18.2840","29.7363","25.7778","15.6656","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0782","22.4096","26.6073","25.5453","15.8072","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0374","18.4794","29.9206","68.9394","35.1953","20.4751","13.7597","11.0000","11.8598","11.0000","11.0000","13.8038","12.4375","13.6426","16.5560","26.5065","33.7181","24.5889","20.2095","17.1131","31.5443","36.9577","46.1835","47.4835","12.6813","17.3665","14.5098","19.8225","39.7825","39.5061","37.7160","42.6181","21.7664","21.7497","18.5977","16.3089","14.5142","19.9543","21.7622","25.5169"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",1.0000,"20.7630","14.6366","11.0000","11.0000","11.0000","11.0000","11.0000","72.3077","11.0000","14.5108","18.5194","25.0003","26.5435","16.6499","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6444","18.2622","19.7693","11.5358","11.0000","11.0000","11.0000","11.0000","11.0000","14.0346","11.7667","16.6075","21.9858","31.1111","24.1992","15.0335","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4060","13.8075","20.8924","28.8935","28.7557","12.2314","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3967","18.7785","30.3069","75.4700","32.1304","19.0527","15.4358","11.0000","11.4904","11.0000","11.0000","14.1566","12.1611","16.9197","17.6277","30.0629","34.9020","23.1993","19.9474","19.4092","33.1192","37.6533","46.2447","39.6520","15.2550","15.4455","18.9604","17.6016","38.0795","37.0934","34.7529","43.8964","21.3851","20.5349","18.8448","17.9480","18.2183","21.6639","22.7867","29.1188"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",1.2500,"25.0715","16.2045","11.0000","11.0000","11.0000","11.0000","13.3985","69.4689","11.0000","11.6928","16.9803","21.0950","33.8289","15.4590","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9484","13.8559","18.2428","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8808","16.7750","29.8270","25.9385","16.0190","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2270","25.2937","24.1842","14.5287","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3133","29.0785","89.9801","36.4292","19.9791","11.9620","11.4967","11.9507","11.0000","11.0000","12.3926","11.0000","14.5799","15.3761","15.6576","32.7687","24.4741","17.9555","19.1116","28.6816","38.0898","41.7857","36.2957","12.9950","15.0127","14.5435","18.1462","37.3159","38.1448","36.3420","44.6505","20.8250","17.5954","13.3393","16.7381","16.0262","19.5468","22.2419","22.8730"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",1.5000,"23.8934","14.7284","11.0000","11.0000","11.0000","11.0000","20.4045","69.0104","11.0000","11.5663","13.4123","20.9651","32.3407","17.3540","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0357","16.2021","20.4126","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1659","13.5049","19.6188","27.4473","26.5841","13.3880","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6574","18.7753","22.2750","25.5356","15.4900","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0121","28.6836","94.4925","36.1098","18.2348","13.5793","11.0000","11.5218","11.0000","11.0000","11.2484","11.0000","12.4115","15.6646","16.6509","35.2206","25.8384","19.9170","15.9117","29.7207","41.4061","42.7604","36.4438","11.0000","11.5952","15.1831","22.0814","38.5834","34.6444","35.0020","46.6456","22.0192","20.8801","13.5271","13.2714","14.5873","17.6318","22.6845","23.4753"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",1.7500,"25.1160","18.0400","11.0000","11.0000","11.0000","11.0000","11.0000","71.5932","11.0000","12.0402","14.9220","23.0515","35.6348","15.1318","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7726","14.9481","11.3617","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1229","15.0661","16.3086","28.7973","26.9620","15.9129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1248","18.3945","23.8480","28.6554","17.1945","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6108","27.7964","98.7143","35.4174","17.8101","11.0000","11.0000","12.2256","11.0000","11.0000","14.6822","11.0000","11.5524","13.2381","14.9597","36.2164","26.1516","20.0141","14.8923","29.2283","46.7033","40.3744","33.8505","11.0000","13.4649","17.9113","17.1995","41.1748","40.4720","34.7803","47.5842","21.0298","19.5815","15.4700","14.6907","15.1308","18.8211","23.4792","23.2166"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",2.0000,"22.0729","17.2994","11.0000","11.0000","11.0000","11.0000","11.0000","70.5850","11.0000","13.0371","16.6030","20.7756","29.3126","14.5377","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7605","15.4060","13.1400","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0118","14.3618","17.1344","28.2444","25.0339","12.6574","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6541","18.4169","20.3022","26.5380","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7834","27.8554","92.4811","34.7300","21.5263","11.0000","11.0929","11.0000","11.0000","11.0000","14.2384","11.0000","13.0539","12.9878","14.3798","34.3612","27.2278","15.7441","16.0329","27.0250","48.3068","42.3931","35.8851","12.3457","11.8400","22.9902","15.9864","37.5370","38.0509","33.1776","46.5850","22.2657","17.4649","14.1022","15.8927","15.8252","19.2464","22.4715","23.8007"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_13_33_MBT_462_2#14#2023_A_ 8A_6.OKA","2/14/2023 1:49:51 PM"," 8-A","PM13B","WG5","SAM129321","K12-Ecoli","MBT",2.2500,"25.0897","20.4152","11.0000","11.0000","11.0000","11.0000","11.0000","71.8395","11.0000","12.9171","17.0367","23.7893","33.2928","16.9581","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2161","17.7653","14.5297","11.0000","11.0000","12.1132","11.0000","11.0000","11.0000","11.0000","11.0000","13.3871","17.2894","27.9796","28.3775","14.2580","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8131","20.3451","24.9236","27.5257","16.0210","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0262","28.8056","87.1394","36.3810","20.0921","13.6430","11.0000","11.8871","11.0000","11.0000","12.0861","11.3055","12.5377","12.3832","17.1841","36.1531","28.4253","18.1005","19.0478","28.5733","54.1825","44.4668","34.3718","12.6835","14.4214","38.4803","21.6083","38.2436","40.8272","34.2317","47.5121","22.2840","20.7198","15.7285","14.8538","18.4236","21.1072","21.1523","24.2191"
