"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",0.0000,"27.3184","30.7265","45.4122","63.5098","19.4958","18.2831","15.0283","19.9444","25.1687","27.2420","32.4288","34.0523","23.2996","19.3055","14.9568","15.7974","16.0089","11.0000","11.6863","12.8912","12.7153","13.7173","15.5297","21.8110","21.0422","15.0520","13.8001","14.5665","13.7064","12.2523","11.0000","13.1709","12.0853","14.6126","19.3427","15.3203","21.1673","15.8636","13.6685","11.0000","11.0000","11.5819","11.0000","11.0000","11.0909","18.0894","15.0379","17.6730","14.1957","11.0000","12.1046","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8984","28.4975","15.2911","14.1805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0654","36.7355","43.7446","20.7666","18.6191","11.0000","19.6924","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6066","20.2077","19.4512","11.9498","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3096","17.3737","28.8510","37.8029"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",0.2500,"29.1034","35.7907","49.5540","68.7658","17.9972","23.9186","19.7207","20.3683","25.7410","28.0012","38.1518","40.9132","24.1977","20.8687","20.8539","16.8574","17.5143","14.1712","13.2014","15.2021","16.5342","13.3528","16.9299","21.8425","21.5571","20.6750","13.9930","14.9386","16.2574","12.0064","13.2559","14.8761","14.2871","15.8316","21.4061","15.8392","25.7107","15.1651","13.4722","11.7533","11.0000","12.0735","11.0000","11.0000","11.0608","21.0170","14.7180","20.3581","18.2147","15.9288","13.5951","11.0000","11.0000","11.5294","11.0628","11.0000","12.1523","12.7735","13.0184","17.5603","16.6885","14.4975","11.0651","16.1954","11.0000","11.0000","11.0000","11.0000","13.5724","21.0679","39.0206","39.6497","25.4712","20.3322","15.4007","17.6588","11.3534","11.0000","11.0000","11.0000","11.0000","13.0732","14.0997","20.6437","22.8408","11.0000","11.2381","11.0000","11.0000","11.0000","11.0000","11.0000","14.5093","23.8807","31.8244","45.1735"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",0.5000,"27.9423","32.1934","59.2570","71.7703","16.6020","20.8473","18.7506","21.9576","23.1965","26.0306","39.0416","48.3995","23.5546","21.4874","20.0029","18.4284","16.2966","16.5869","16.7215","14.3147","12.0743","14.6983","17.3424","22.5615","22.2789","16.2269","14.1033","13.8773","16.8198","12.4089","12.9141","12.8388","15.6267","21.4861","19.5710","16.3932","28.2276","20.9887","15.6169","12.7171","13.1487","11.0000","11.0000","11.0000","12.0009","24.9082","16.6457","20.1890","17.2631","12.3845","11.5385","11.1576","11.0000","13.4888","11.0000","12.9050","11.0000","11.0000","12.5299","16.4134","11.1646","11.0000","11.0000","11.5456","11.0000","11.0000","11.9156","11.0000","11.0000","20.6675","34.1247","38.7722","23.9154","18.7248","14.8243","20.4552","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2278","21.4629","22.6711","12.1201","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8284","20.3672","32.8616","48.8378"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",0.7500,"31.0729","32.8737","51.1830","74.1496","18.3385","19.6672","21.8104","22.1232","26.3543","29.7150","41.9912","42.3205","22.8407","19.0988","18.8795","18.5194","18.2141","16.0405","12.6220","14.6513","15.6518","13.8407","19.0027","18.6473","21.1291","16.7268","12.7688","14.4359","14.7465","11.0000","12.3947","14.3268","15.1752","16.5870","18.0472","19.1420","29.3096","15.9567","13.3287","13.4024","13.4031","11.5206","11.0000","11.0000","12.2694","26.3414","16.0028","17.3137","16.2556","12.9305","12.8675","11.0000","11.0000","11.0000","11.0000","11.0000","12.1526","11.0000","14.6038","21.3025","15.1396","11.0000","11.0000","13.0217","11.0000","11.0000","11.0000","11.0000","11.7340","19.5490","31.9131","36.8196","21.7603","18.6120","14.1576","24.4992","11.0000","11.0000","11.0000","11.0000","11.0000","11.7114","17.0072","20.4346","19.9477","13.5770","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8397","22.6139","31.0265","45.7259"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",1.0000,"29.7525","33.3559","48.4359","77.7999","18.4889","22.9434","21.2930","21.0653","24.8095","31.1454","43.1951","44.3380","23.3193","23.1490","16.7304","17.5408","15.5132","18.2122","13.7078","14.4359","15.2445","16.8507","19.1743","21.6922","21.9377","18.3858","15.3692","16.7649","16.9885","11.0000","12.8214","12.0728","15.1137","16.9401","20.1980","18.9277","32.3922","15.8214","14.9650","13.6483","14.4032","11.0000","11.0000","11.0000","12.0282","15.9049","16.9379","20.2248","17.1544","13.8530","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0534","16.3114","16.4176","13.3611","11.0000","12.1245","11.0000","11.0000","14.8104","11.0000","11.0000","18.8869","32.4472","37.2755","21.7544","23.2526","16.9121","24.7949","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8465","21.2796","20.5193","11.0000","11.0000","11.0981","11.0000","11.0000","11.0000","11.0000","14.0171","21.4881","30.5650","44.6789"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",1.2500,"29.8627","34.7659","50.0405","64.6003","16.5492","21.2059","16.7660","19.8888","26.9076","32.5716","41.7984","43.9557","20.9607","18.1252","15.5056","14.7104","15.5745","15.0344","11.0000","14.4545","14.2169","11.2450","15.7901","19.7012","19.4329","15.1562","12.1631","15.1585","11.0000","11.0000","11.0000","13.3538","14.0101","15.2959","18.7311","17.3229","28.0734","17.5370","14.2823","12.2199","11.9667","11.0000","11.0000","11.0000","11.5765","17.0297","14.3752","18.8370","19.5609","11.9977","13.3432","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6481","18.2129","14.7747","11.5900","11.0000","12.3805","11.0000","11.0000","11.0000","11.0000","11.2450","17.7002","29.5603","37.0270","23.0989","19.2647","16.7033","27.6414","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5945","22.4179","18.1679","11.0682","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9939","15.1892","26.9813","40.9267"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",1.5000,"27.7634","34.0132","46.8853","64.2041","21.6153","20.6277","18.2572","18.6906","23.3674","29.0153","40.5087","46.3969","20.5436","20.3986","12.9966","15.0791","16.4371","12.8494","15.8765","14.8931","13.4291","17.8578","16.3436","23.0011","21.8820","15.5571","12.4668","13.3618","12.1327","11.0000","11.0000","11.0000","11.7851","12.9807","19.9068","14.9400","19.5329","13.6366","14.7123","12.3797","11.0000","11.0000","11.0000","11.0000","11.0000","15.8546","16.3042","19.7437","21.9528","13.8363","11.0000","11.0000","11.0000","11.0000","11.0000","11.1535","11.0000","11.0000","14.1657","19.2829","14.6791","11.0000","11.0000","14.0785","11.0000","11.0000","11.0000","11.0000","11.8275","16.0292","27.9818","32.3167","20.3517","16.5700","18.8114","29.3187","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3659","17.9594","13.7368","11.3745","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6056","26.1471","37.3693"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",1.7500,"27.8571","34.2461","47.8273","62.7657","18.6274","22.4865","17.6801","22.5498","23.0419","29.1608","44.9336","47.3459","21.8453","20.2137","19.2266","15.7236","16.5273","13.5935","12.7470","17.6757","12.5657","15.2960","17.1910","20.3383","22.8173","16.6626","13.5732","15.3389","14.3604","11.2144","11.0000","13.2330","12.4480","15.3685","20.8963","13.9648","20.4541","13.4119","11.0000","13.5917","12.2218","11.0000","11.0000","11.0000","12.6958","14.7254","15.3864","18.0648","16.4169","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7883","11.0000","14.2387","18.5268","13.0404","11.0000","11.0000","14.5350","11.0000","11.0000","11.0000","11.0000","11.0919","16.9738","25.2681","31.5062","21.8640","16.6988","17.8402","27.1233","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4960","19.9053","17.2772","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8206","23.8106","35.4632"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",2.0000,"27.3008","32.2172","48.2430","59.8839","16.7803","19.0229","18.9960","17.4955","24.0640","28.9577","45.9754","44.8361","20.0112","18.6718","14.7768","17.1576","15.5348","14.0824","12.5898","12.2095","12.4410","12.8995","16.2454","20.1846","18.5963","13.9635","12.0673","12.7968","13.4059","13.2545","11.0000","11.3367","12.0565","12.7919","20.2816","12.5579","18.0399","17.6119","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9707","14.0234","16.3027","17.2324","15.8071","11.2256","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9851","16.8231","12.3163","11.8837","11.0000","15.5131","11.0000","11.0000","11.0000","11.0000","11.0000","15.0074","25.0441","30.9237","20.3506","17.1216","14.4927","28.9332","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8224","18.7386","18.5318","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5645","21.9558","35.7065"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_14_33_MBT_462_2#14#2023_A_ 8B_7.OKA","2/14/2023 1:49:51 PM"," 8-B","PM14A","WG5","SAM129321","K12-Ecoli","MBT",2.2500,"27.6554","32.3204","50.1089","62.4840","19.4316","23.2455","19.6722","20.9290","25.2590","32.1159","43.4357","44.2749","20.9133","20.7411","17.3506","14.8960","14.5765","16.0826","12.5912","14.0298","13.4845","15.4943","16.0398","21.8695","22.4384","17.7006","13.9807","15.0237","15.7229","12.2239","13.1012","11.0920","13.7699","14.7409","21.3045","16.1915","21.2181","14.7902","13.1100","13.3125","13.8026","12.6563","11.0000","11.0000","11.0000","14.6555","15.4469","18.9554","18.1576","13.3507","11.0000","12.1021","11.0000","11.0000","11.0000","11.0000","12.4848","11.0000","11.0000","20.9840","18.0500","12.6697","11.0000","15.3606","11.0000","11.0000","11.0000","11.0000","11.0000","15.9675","25.3003","30.9767","23.8161","18.8648","16.6846","30.5891","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2156","20.2218","18.4404","11.8825","11.7851","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4890","23.1489","35.2121"
