"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",0.0000,"49.1507","41.7275","20.1154","11.0000","12.5209","11.0000","11.0000","11.0000","12.4044","13.9852","18.2660","24.8070","59.1391","33.0244","16.0219","11.0000","11.0000","11.0000","11.0000","26.9410","13.5170","11.0000","14.3302","24.6801","57.5919","19.7501","12.7274","23.2777","11.0000","11.0000","11.0000","13.6743","12.5988","15.8517","11.6186","22.1992","27.5118","23.4317","11.6700","11.0000","11.0000","11.0000","11.0000","11.0000","11.7371","11.0000","13.2048","22.4259","42.5352","19.9775","17.6942","11.3146","11.0000","11.5864","11.4966","12.3584","12.9913","18.8172","17.4328","21.4695","32.3357","19.8883","15.2230","15.3058","16.2919","12.9034","11.0000","13.1960","18.6078","17.1541","18.3620","25.4928","37.1273","20.3054","17.9090","14.0527","17.6754","17.0525","13.8486","13.8693","14.7682","17.7229","17.7804","29.6120","36.8607","32.7560","24.9020","25.4941","24.3409","53.0930","22.2427","22.3287","20.1065","21.3049","27.8015","27.0048"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",0.2500,"41.2690","35.0962","11.9502","11.8733","11.0000","11.0000","11.0000","12.7814","15.1063","14.6287","21.1924","26.0390","42.8173","19.6651","11.0000","13.8530","11.0000","11.0000","11.0000","24.8885","17.3819","12.5684","14.1539","24.6839","48.3677","17.6940","11.0000","22.4225","11.0000","11.0000","11.0000","11.6210","12.6935","16.8908","17.6997","24.8548","22.1558","16.0004","11.1279","11.0000","11.0000","11.3114","11.0000","11.0000","13.2388","14.1098","15.8740","23.4264","35.2911","17.1130","15.9408","16.1360","11.0000","13.2266","11.0000","14.6119","16.0370","16.6634","18.2118","20.8114","30.7480","21.3002","17.5399","14.6752","18.6695","13.9480","11.9602","15.0494","15.7897","19.3561","18.7384","24.9146","35.9965","22.6374","19.6564","20.2571","15.4734","14.6984","12.1618","13.4946","14.6834","14.9442","19.3412","38.8599","34.9959","28.8363","27.7292","26.2205","27.0612","52.8733","22.6843","20.6591","19.6555","23.2452","25.1502","29.5578"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",0.5000,"41.2420","29.2118","11.5411","11.0000","11.0000","11.0000","11.0000","12.3463","16.5413","16.1159","19.3085","23.2353","46.1828","18.4573","11.0000","11.0000","11.0000","11.0000","11.0000","28.8712","11.0000","11.6252","17.2111","19.8835","47.8868","13.8257","12.3021","23.5632","11.0000","11.0000","11.0000","11.6803","12.1991","15.9691","16.2431","22.4792","21.8866","16.2583","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5603","14.0549","13.7086","24.1287","34.8126","16.4027","17.7665","12.9465","11.0000","12.1711","11.0000","11.2791","14.2709","15.0868","15.6000","21.4650","29.4472","18.9089","16.1410","12.7693","14.0664","14.0607","11.0000","11.0000","13.5490","17.8909","19.7117","21.6721","35.5440","20.7874","20.0783","14.1737","15.7505","17.1267","14.4813","13.7258","12.4390","15.3914","18.5515","25.6531","34.1670","28.6025","28.5061","24.0379","25.0053","54.3782","21.1010","21.7591","20.9852","23.3247","26.8541","29.4131"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",0.7500,"40.9019","29.1603","12.2214","11.8121","11.0000","11.0000","11.5992","11.0000","14.9603","16.0793","19.2918","27.2996","43.1604","13.0828","11.0000","12.1529","11.0000","11.0000","11.0000","30.8957","13.7956","13.2863","15.0077","24.6820","48.2600","15.4341","11.0000","25.7848","11.0000","11.0000","11.0000","13.1050","11.0923","15.6924","16.3395","25.0897","22.6787","17.2870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5673","16.8838","17.6479","24.1053","34.5690","17.6139","13.3650","11.9138","11.0000","11.3399","11.4341","11.5880","15.4242","18.2023","17.4826","24.3730","27.0371","19.5653","18.0699","16.5448","12.2283","13.4392","13.4547","12.5405","13.6303","16.3467","19.7308","24.0133","34.1971","18.9898","20.0234","18.3112","15.8682","17.4197","14.8359","15.4777","15.0165","20.2236","17.6159","26.1503","34.1771","31.9402","27.7089","24.2699","24.4732","56.1053","21.5489","20.9820","17.4902","24.5406","27.1896","30.4855"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",1.0000,"41.4578","32.7505","14.1848","11.0000","11.0000","11.0000","11.0000","13.3424","17.8579","18.0530","19.3823","27.6881","46.1738","17.8071","11.4326","13.3185","11.0000","11.0000","11.0000","28.0000","13.4859","16.6783","16.8680","26.6507","48.9132","20.1423","13.1424","26.0530","11.0000","11.0000","11.0000","13.6011","15.0789","18.3021","19.0624","27.0049","27.9935","16.1906","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9295","14.8682","17.0161","25.3148","38.2023","16.4117","16.0260","14.2299","11.0000","11.1551","13.6700","14.0651","16.2488","17.2910","16.8449","23.6157","28.8054","20.4682","17.6692","17.0400","16.1493","14.7002","12.2747","14.3114","18.6695","20.1542","20.8042","25.8436","34.8421","21.6626","21.3143","18.8567","20.0127","19.7814","14.8466","18.4854","18.4229","20.6372","19.6419","29.5576","37.6441","32.3274","30.1056","25.3225","27.3975","55.6617","22.3593","22.9924","21.4194","26.4517","27.2799","31.6261"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",1.2500,"42.5834","36.7103","13.0392","13.6901","11.0000","11.0000","12.1046","11.0000","14.0632","16.1964","22.3132","27.3302","43.4499","21.0072","13.2550","11.0000","11.0000","11.0000","13.2910","28.6148","14.5856","12.7270","15.7937","24.7740","50.8192","16.8468","12.8291","27.0883","11.0000","11.0000","11.0000","15.1271","15.7594","16.8384","16.2191","28.5699","28.9587","19.1890","13.1772","11.0318","11.0000","11.5617","11.0000","12.9473","14.8634","13.7882","17.6998","27.7653","30.5544","18.4783","19.9884","11.3145","11.0000","12.1158","11.4681","15.3244","16.1714","17.9505","16.0183","24.3201","29.4432","22.5535","19.9679","16.2776","17.3176","15.8026","15.7512","16.0444","18.6907","19.1389","21.2517","26.8603","33.8482","21.0426","19.7333","18.6200","19.1066","16.2492","17.5027","16.2172","18.4501","20.7673","19.2060","29.2152","37.0257","31.3362","32.4059","25.9054","25.3269","54.4302","22.0012","25.8366","25.3876","26.6899","31.2602","32.3774"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",1.5000,"49.7489","34.9383","19.5749","14.8666","15.6743","11.0000","12.5464","12.5747","25.2792","17.8274","21.7317","30.1888","49.5142","19.3012","16.8945","15.4693","11.0000","11.0000","16.4946","28.8004","21.1975","12.5050","19.3587","27.0226","52.2982","20.8400","18.2156","27.8694","11.0000","11.0000","11.0000","19.1534","18.0261","19.8136","20.7269","23.8192","28.4386","20.1209","13.4668","14.1227","11.0000","14.5521","11.0000","14.9198","18.0864","16.7289","18.3088","25.4835","31.1795","18.2680","20.8706","13.8933","13.1790","13.6601","14.4675","14.8464","18.2501","19.1814","16.9569","24.8293","28.7044","21.6635","17.1842","18.3051","17.9370","18.9747","16.0783","16.4654","21.2358","18.0879","20.5747","30.0185","36.2398","26.0899","24.9502","20.4218","25.4005","22.3088","17.7161","16.3034","21.6313","18.6754","25.3154","38.0375","36.0838","36.3204","37.5606","27.8117","28.5942","58.2016","23.5093","24.0523","25.8527","27.3293","28.8049","34.1813"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",1.7500,"44.5472","37.9461","16.1688","16.6294","24.1197","14.0989","11.0000","14.2965","30.9380","18.8173","23.1058","28.2926","50.3015","23.3273","20.7678","19.0737","11.0000","11.0000","19.8620","31.7862","28.7213","16.9489","17.5513","26.6737","48.8830","21.7894","21.3842","27.1526","14.7855","11.0000","13.6035","23.4817","16.8703","24.2456","19.4568","29.1280","26.6682","16.3776","14.0975","16.4410","13.4186","19.1719","11.0000","15.6182","16.0250","20.4223","17.4003","29.4055","28.2744","18.4850","19.0129","16.1363","14.0319","15.1073","17.6139","24.3257","23.1174","20.7456","15.9640","23.9340","26.2297","21.4043","17.1892","20.8902","24.1750","22.6354","15.1941","22.1704","23.5980","19.8388","24.4901","29.0624","36.5156","31.5899","30.0851","24.0361","31.0022","30.7112","16.1948","20.7931","27.8765","21.7022","26.4962","38.1988","38.1573","42.9803","44.6760","27.0075","30.1450","58.4779","27.9043","25.0945","22.7933","28.3629","30.0115","34.5928"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",2.0000,"45.2847","39.5548","19.7478","28.5301","32.1821","19.4530","12.5183","15.7493","37.9426","23.0032","26.8240","31.7064","54.3755","33.8590","28.0454","23.8631","13.7835","11.0000","27.1233","35.0227","35.5426","18.8448","23.5491","30.0673","51.8290","36.8478","28.8580","34.9886","22.6548","17.5190","13.5720","32.0022","18.7875","32.0649","22.5906","31.4043","29.4399","20.7457","17.5596","18.4861","21.0067","29.7056","14.4088","23.6543","22.4476","25.2624","20.5582","29.6941","30.3671","18.5696","23.1519","17.4351","22.0325","21.9212","24.4698","30.2901","33.2524","24.9481","20.4403","29.5046","28.5261","28.0113","21.1733","22.2763","27.8517","29.2895","17.9133","30.1528","28.0905","20.3804","32.8968","31.9181","38.4097","41.3840","37.1548","32.0827","41.3069","41.7378","21.2028","31.4436","34.3468","24.0051","33.0545","46.3609","37.6245","51.6509","50.0241","32.0193","39.9690","55.5051","31.3858","28.5376","27.9987","31.2098","34.6214","36.0317"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_1_33_MBT_462_2#14#2023_A_14A_18.OKA","2/14/2023 1:49:51 PM","14-A","PM01","WG5","SAM129321","K12-Ecoli","MBT",2.2500,"33.4609","39.5918","25.1508","36.9348","38.6554","31.6588","12.8622","18.7301","44.3333","28.0025","29.6028","36.6081","64.0080","42.2545","39.5918","30.8806","17.8361","14.0208","37.1075","34.8932","45.3170","22.3488","26.0970","34.5600","54.1406","43.3694","39.5882","39.7850","30.6065","28.0379","15.8883","35.2688","20.4547","40.2344","26.2612","37.2958","30.7205","23.7660","18.5416","21.7599","28.4131","30.4007","13.5972","24.8307","25.4485","28.7318","20.0967","33.3496","36.5770","18.8068","25.4218","18.5241","24.7429","20.7872","27.2826","37.3430","38.6760","32.3711","22.7355","32.9843","31.3671","25.2201","21.3856","20.7444","35.0751","36.8427","19.9991","37.5004","32.8763","18.9347","32.2700","36.3763","39.5925","43.7117","46.7514","35.2050","45.6271","46.6131","25.2085","39.9773","42.4261","24.9966","40.0913","53.5242","39.1177","57.5137","57.3720","32.6480","48.2493","60.3442","37.7319","33.0717","33.3966","34.8953","30.8079","34.3970"
