"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",0.0000,"35.2470","22.9075","21.2152","17.2806","21.0813","22.2780","15.7465","18.5635","24.4541","23.8890","35.6354","42.0457","21.3234","20.2317","15.2635","19.5185","19.2978","11.0000","11.0000","12.6742","19.2703","17.2284","19.2637","33.5554","21.7961","17.4283","15.5957","11.0000","11.0000","11.0000","11.0000","12.4676","12.7183","16.7921","21.3234","28.4941","12.5906","15.7700","16.4921","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3050","16.1829","26.7508","23.7829","11.0000","11.0000","11.0000","11.5401","11.0000","11.0000","11.0000","11.0000","15.0164","16.0907","21.7130","16.3117","16.3043","12.2981","11.0000","11.0000","11.0000","11.0000","11.0000","15.4347","13.7204","17.6767","21.9445","14.8597","13.9741","11.0000","12.8535","11.0000","11.0000","11.0000","11.0000","12.3902","11.0000","17.4872","26.4642","14.5042","11.0000","11.3766","11.0000","11.0000","11.0000","11.0000","23.2548","57.3175","14.7991","23.9412","25.3185"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",0.2500,"26.9483","24.1070","23.4991","16.9571","19.5288","26.1480","16.3137","21.3428","22.5689","25.8184","38.2440","46.8301","19.4653","23.6356","16.3388","14.6686","18.6905","14.2020","11.1240","14.8004","22.2518","16.6528","20.3534","31.0842","19.3552","17.8061","14.7565","11.0000","13.2184","11.0000","11.0000","11.0000","13.5332","14.6684","22.0059","30.5700","22.6447","16.1673","14.0902","11.0000","11.0000","11.6441","11.0000","11.0000","11.0000","15.7068","16.0480","26.1882","28.8619","15.0327","11.0949","11.0000","11.4121","11.2491","11.0000","11.0000","11.0000","16.7180","16.5048","23.5591","20.5788","11.8826","12.4003","15.3667","11.0000","11.0000","11.0000","13.7202","17.8598","15.5121","16.7796","21.3803","17.9022","14.5456","11.0000","11.0000","11.0000","11.0000","11.0000","13.9963","11.0000","20.7779","18.4455","29.7860","20.4727","14.6435","15.9328","12.0446","11.0000","11.4599","11.0000","23.0635","64.6025","15.1168","24.1330","25.4123"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",0.5000,"24.0747","23.1020","21.1291","17.3969","20.5776","22.1358","15.8129","20.8619","17.6299","23.7729","33.0327","39.7552","18.2498","25.2395","17.5004","14.7142","17.7797","14.5915","16.5050","14.9653","16.7092","15.0651","17.2198","25.4595","16.1103","15.6156","17.4500","12.2994","12.0665","11.0000","11.0000","11.0000","13.3434","18.0505","20.3228","21.4818","24.6398","21.4217","17.6000","11.0000","11.0000","13.5836","11.0000","11.0000","12.2739","15.4953","15.7702","22.3441","31.6332","11.7727","11.5068","11.0000","11.0000","12.9600","11.0000","11.0000","11.0000","11.0000","11.6120","22.2706","16.7931","11.0000","14.0501","11.0000","11.0000","11.0000","11.0000","11.0000","11.9834","13.8235","11.0000","18.8841","15.8642","13.0065","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3725","13.5853","24.6460","20.8861","12.8669","11.0000","11.0000","11.0000","11.0000","11.0000","15.7229","51.4673","14.2895","22.7181","21.4759"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",0.7500,"30.8435","22.2800","18.2784","17.3361","20.1731","23.6320","17.6046","22.3112","20.9974","23.7138","38.3976","49.8529","22.9288","21.2626","14.6485","17.3175","18.6367","12.9670","11.0000","14.7441","21.0382","17.2922","20.9650","28.9347","17.8939","17.7929","14.7511","11.0000","12.3707","11.0000","11.0000","13.2890","14.6045","16.3779","20.4565","29.4796","19.8755","18.2013","14.7259","11.0000","11.0000","11.5513","11.0000","11.0000","12.3600","18.3083","16.8166","27.7162","25.3334","12.7053","11.8863","11.0000","12.0800","11.3118","11.0000","11.0000","11.0000","14.4605","13.5654","25.5239","18.1622","12.1176","12.7610","11.0000","11.0000","11.0000","11.0000","11.0000","17.5140","15.4430","17.4651","23.0649","14.4971","12.3749","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2070","29.2796","21.7990","14.5603","11.0000","11.0000","11.0000","11.0000","11.0000","16.9089","52.6758","15.8703","22.7785","25.8318"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",1.0000,"28.1682","25.0022","22.4791","19.3876","22.1280","25.2402","21.1998","23.0407","21.1853","26.6343","42.0004","51.4521","20.9559","24.3793","16.9756","18.1270","18.8754","14.5601","11.0000","15.0859","21.5044","19.8675","19.9702","32.5656","18.9465","18.8721","14.9720","15.9325","13.7055","11.7643","11.0000","13.0536","17.1255","18.8206","22.6928","31.1079","24.2619","16.1657","15.6465","11.0000","11.0000","11.6147","11.0000","11.0000","13.5404","17.8124","17.5709","31.8157","26.0687","13.4042","12.6808","11.0000","11.0000","11.0000","11.0000","11.0000","12.6072","15.8229","17.7886","23.0767","18.1249","14.1809","16.2662","11.0000","11.0000","11.0000","11.0000","13.0762","16.3309","20.1144","17.7345","24.3896","20.1748","12.9698","11.0000","11.0000","11.0000","11.0000","11.0000","11.8453","14.5399","12.8005","21.4736","33.4444","23.6466","12.1247","12.4381","11.8172","11.0000","14.2234","11.0000","20.0870","54.2029","18.7805","26.4700","28.8910"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",1.2500,"29.9489","27.8613","23.6405","20.6879","18.2381","26.0177","21.0671","22.5272","25.5716","26.9094","38.1842","52.1127","21.4336","21.6258","17.0688","17.4314","19.6945","13.6486","12.1867","16.4594","20.6507","17.4923","20.3653","32.2092","20.5512","17.5093","18.2542","16.1750","11.0000","11.3372","11.0000","11.8559","17.0504","20.5167","21.5095","30.8806","22.1646","18.0351","15.6758","12.0635","11.0000","12.9097","11.0000","11.0000","11.8799","18.9893","18.9558","28.5657","26.2193","11.5793","13.0265","11.0000","11.0636","11.0000","11.0000","11.0000","11.6391","16.6593","15.0287","24.0364","23.3089","14.5403","16.6818","11.0000","11.0000","11.0000","11.0000","15.4688","18.6265","16.9011","15.1685","27.4848","20.8596","16.2321","11.0000","11.0000","11.0000","11.0000","11.0000","13.8111","11.7732","11.0000","18.2364","31.1805","23.5868","14.2070","13.7171","13.2229","11.6196","12.0904","11.0318","20.6217","51.7202","16.3861","25.7309","29.1104"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",1.5000,"30.3601","26.5205","25.6020","21.6107","23.7143","25.9015","21.6211","25.2150","24.0249","28.8296","39.9520","56.9476","25.0642","24.3121","17.3277","19.6836","23.8376","18.6135","16.5598","19.8368","20.1322","21.0886","21.8100","34.6111","22.6657","19.2578","19.2812","17.6193","12.6531","14.0637","11.1865","13.6100","16.3450","19.5228","24.7815","31.9522","24.6526","18.1880","18.3937","13.3517","11.0000","12.8164","13.1058","11.0000","14.6091","19.6236","21.0358","32.4701","27.3498","13.1595","13.8228","11.0000","13.2300","11.0000","11.0000","15.7580","12.3402","15.4139","18.3969","28.4532","29.5268","15.8624","17.7259","11.5131","12.1878","11.0000","11.0000","12.9914","17.0684","24.1557","20.7342","23.9857","18.7034","14.9259","14.2855","12.8995","11.0000","11.2589","11.0000","14.4535","13.9389","12.3971","21.3378","33.7144","19.4529","16.9581","16.2099","13.3917","11.0000","12.0629","14.1728","22.1417","53.4004","17.1721","28.2153","34.1586"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",1.7500,"30.4793","27.6171","22.9825","21.3289","25.5941","27.0198","21.5821","29.9479","25.2313","34.2347","39.7083","55.6348","26.3838","27.3011","19.6853","20.9720","21.0277","21.3433","16.8963","18.5679","19.6879","20.1100","24.1481","31.3993","22.3337","19.4174","16.9428","23.4900","12.7719","14.4916","15.9031","16.1695","17.8782","24.6440","28.5434","31.3560","26.5605","19.6453","17.4073","18.9311","11.4386","12.1711","20.2689","12.0147","15.2697","18.9354","21.6787","32.7055","25.6255","11.5491","15.4099","11.0000","12.7854","11.0000","11.0000","12.1402","15.9115","18.6824","14.0554","29.0170","31.2068","16.0513","21.3825","11.0000","13.9747","11.0000","11.0000","15.2835","18.7523","26.4401","16.0501","24.9276","24.3042","22.3977","11.0000","11.0000","11.0000","11.0000","11.0000","14.5980","12.1134","11.0000","19.8029","31.5030","25.3039","18.6294","18.8742","12.3102","11.0000","17.7372","12.1780","24.4865","55.2611","20.0259","27.6142","38.6140"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",2.0000,"34.3731","30.5187","28.2612","23.7799","27.8892","37.4664","25.4363","32.1182","28.0549","39.9422","41.1108","58.6876","30.9366","33.6457","20.6723","22.5456","24.3323","28.2922","18.1072","18.0709","21.6388","21.3248","28.4233","34.7471","24.1347","19.5544","20.8802","31.4151","19.4360","18.2509","20.3097","24.5586","18.6373","30.8598","29.7133","33.3909","31.4065","23.2569","18.8107","24.2724","12.2828","18.6748","28.2561","14.0135","15.2445","21.7331","21.8464","38.5063","28.0318","13.9008","16.6853","11.6981","18.2120","11.0000","11.0000","20.3200","25.3061","23.5199","17.6883","33.1933","42.6570","20.8518","28.1397","14.4889","20.4165","11.1919","11.0000","14.2984","15.1005","33.0867","18.5388","25.6838","25.4784","30.6025","13.5859","14.3928","11.5780","11.9082","11.0000","16.0964","17.9733","12.9294","22.1986","35.4857","27.7754","17.2380","17.3928","17.4736","19.0238","15.2364","13.2983","23.0122","51.5578","21.8202","32.8812","42.0613"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5_SAM129321_K12-Ecoli_MBT_2_33_MBT_462_2#14#2023_A_14B_19.OKA","2/14/2023 1:49:51 PM","14-B","PM02A","WG5","SAM129321","K12-Ecoli","MBT",2.2500,"32.7845","29.1762","29.6780","25.3683","29.9336","51.0202","30.4968","35.2884","30.1781","41.7645","41.8293","63.5063","33.6675","38.7435","23.7933","21.6057","24.6393","38.2614","19.4551","21.4186","23.6678","22.6790","28.4548","29.0754","27.7803","22.4215","24.0788","37.2162","20.5982","16.1710","30.2199","27.0996","19.4000","31.0514","37.5101","35.7970","38.9213","21.8067","19.7191","35.0000","16.0136","22.5636","30.7682","15.0470","18.9868","24.2624","19.9846","37.8683","28.1145","14.8642","17.4442","15.1250","22.1449","14.2388","12.1551","25.3529","30.1818","25.7499","13.7840","40.5680","46.7418","20.8875","39.0248","13.5651","30.8445","11.0000","11.0000","17.4488","19.5550","36.0830","18.8333","27.1997","25.8186","39.7483","14.0273","15.0274","11.0000","13.5958","11.0000","16.4122","16.5119","13.9862","22.8915","32.5175","24.1241","20.8095","20.8305","18.3785","13.8055","18.8600","16.6437","24.7381","53.1957","23.6037","34.3540","44.4583"
