Plate File,Setup Time,Position,Plate Type,Field 1,Field 2,Field 3,Field 4,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,0,60.487,55.1428,36.8306,29.1818,21.9074,17.1934,18.9338,20.3755,26.5534,11.5027,22.1252,29.0737,48.4307,45.9928,35.2981,17.6194,20.892,15.2006,12.9147,18.4327,15.1469,15.3785,17.0714,28.6103,51.7268,35.852,30.7257,14.0167,13.0584,11.6331,14.6532,11,11,14.1915,19.5104,20.6981,55.1609,43.0642,21.5022,20.6562,15.5236,15.7434,11,11,12.2238,15.5435,17.2422,21.2139,56.5594,47.1455,18.3074,23.5627,20.269,15.4255,11,11,18.2637,16.5002,13.7999,22.0024,57.4077,35.538,22.4159,20.0057,21.5807,15.0928,12.7027,15.5702,13.9641,16.1668,18.9117,25.3337,54.7337,37.2597,27.9913,27.1416,26.655,17.0413,14.5248,12.6737,16.3359,18.1442,18.9077,26.672,57.7007,49.9985,28.1206,30.8999,32.018,22.0184,17.4934,21.2623,18.5263,21.9087,26.2533,27.4232
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,0.25,48.8558,37.5494,32.2585,13.164,14.64,11,11.7268,11,14.1896,11,17.5153,26.2514,39.9336,32.7415,24.4513,11,11,11,11,11,11,13.3288,14.0271,21.3506,36.9814,24.462,21.9846,11,11,11,11,11,11.4007,12.0835,18.0106,23.3249,41.0535,29.8513,12.6419,11.5702,11,11,11,11,12.9962,13.0608,13.1824,21.7568,41.597,36.5318,13.7456,13.5759,11,11,11,11,17.4681,18.9139,14.2329,20.3708,43.0449,30.4611,15.9726,16.4059,12.8397,11.8301,12.4264,12.3924,12.8659,15.6129,15.9447,17.6525,44.615,32.3282,20.6888,17.8548,18.3623,18.1034,11.1885,12.1345,17.05,17.9437,18.5622,26.8296,45.6844,40.119,23.4401,20.6969,23.8907,16.1317,19.4227,20.9562,19.9884,25.4221,24.3432,26.7862
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,0.5,45.2233,33.494,28.0875,11.5562,12.858,11,11,11,12.3477,12.2576,17.1331,25.1983,38.6613,28.0467,22.3115,11,11,11,11,11.4364,12.2135,17.079,14.9292,22.3608,39.2194,27.4974,22.0487,11,11.932,11,11,11,11.9877,12.3348,16.3942,22.957,43.4487,28.232,12.3472,11,11,11,11,11,12.4453,12.8503,17.2839,24.3037,40.9814,34.0834,16.4904,11.5668,13.7333,11.8053,11,11,19.0443,15.3561,16.0632,21.0952,42.3558,28.5667,15.6077,13.7355,14.1257,12.6582,11,14.5252,14.118,19.5694,19.4334,22.6034,42.3803,30.7595,22.5217,13.775,17.2626,13.8664,14.9761,11,17.2144,18.9489,18.6686,24.9993,43.2969,37.887,25.8295,23.4815,22.0888,19.8017,17.8197,21.0888,22.3162,24.5084,28.2006,30.2391
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,0.75,33.7375,21.9784,18.1587,11,11,11,11,11,11,12.6355,15.5752,22.3701,25.6948,20.0841,12.7664,11,11,11,11,11,11,16.357,15.2082,19.3807,27.5157,20.0821,11.7554,11,11,11,11,11,14.4314,11.992,14.9263,22.0241,30.1539,17.0123,11,11,11,11,11,11,11,11,14.6807,23.3876,30.7962,25.198,13.1769,11,11,11.6171,12.9905,11,19.3729,14.2878,15.6984,19.889,34.2587,18.0081,17.401,13.4834,12.9325,11,11.0622,13.5033,15.59,17.2645,18.8987,21.4237,34.5346,19.2643,16.3868,16.9374,15.7938,14.4204,14.6987,12.4179,18.6792,18.3056,17.2509,26.7137,38.0204,32.5465,26.0692,21.4622,21.3124,21.3575,23.2993,18.9421,19.51,22.8021,23.9752,27.672
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,1,27.6051,21.5924,12.646,11,11,11,11,11,13.7644,11.0316,16.3672,21.5967,23.6866,16.8535,11,11,11,11,11,11,11.8118,17.9951,18.1137,21.0971,26.0808,17.7175,11,11,11,11,11,12.1524,11,12.7421,15.4416,23.6267,32.7663,14.818,11,11,11,11,11,11,15.1793,11,18.5427,22.1313,28.9215,17.9945,13.7231,11,11,11,11.5928,11.1858,19.5914,14.6732,16.3094,22.0623,32.1438,19.3958,14.9542,11.4988,13.1735,12.8803,12.059,14.9338,16.1822,17.0354,17.7885,18.692,35.889,19.0967,17.5183,14.0584,15.2892,14.9502,15.0177,13.5288,15.2061,16.7382,19.533,24.4664,32.8538,32.2113,21.8418,19.2568,21.8273,18.0113,17.7109,19.7246,21.9811,24.7348,25.2173,29.1446
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,1.25,33.4451,22.3091,16.2895,11,11,11,11,11,13.1264,16.5673,18.4762,24.6483,26.187,18.1981,11,11,11,11,11,11,13.0545,17.6855,17.6885,20.6848,25.6836,19.2153,13.6414,11,11.7747,11,11,11.7145,16.5387,15.1551,14.4382,26.1507,26.5432,19.0529,11,11,11,11,11,11,16.5788,11.5664,17.5193,23.3728,30.0299,21.1894,11.8222,11,11,11,11,11.2479,20.9521,17.3655,17.8614,21.8507,32.1595,17.9321,15.9613,14.9467,16.0381,12.1753,14.0124,12.7998,16.8181,19.835,18.8213,24.1314,32.2138,21.5796,21.6219,17.9899,15.6936,17.5122,14.2741,15.047,17.2105,16.1955,20.8982,27.063,35.6238,33.1623,23.0759,19.2092,23.0397,20.1985,20.798,20.378,20.6577,21.8548,26.121,31.2281
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,1.5,32.2885,24.2332,17.0485,11,11,11,11,11,13.5079,14.7524,17.1931,25.0825,25.4859,17.5152,11,11,11,11,11,11,11,19.9126,16.2618,20.5667,22.6682,15.0321,11,11,11.1941,11,11,12.03,14.5789,14.2291,16.1406,25.8305,27.7266,12.0726,11,11,11,11,11,11,12.6604,13.1692,15.6583,23.355,32.2342,15.7382,11,11,11,11.0618,11,12.7636,19.9661,13.9579,15.4382,21.4313,29.2161,16.5491,17.4563,12.7755,14.8299,12.5771,13.364,12.7389,14.5941,18.9045,20.3484,23.3361,35.1719,20.6169,17.9494,16.3009,15.7454,15.9325,14.0178,14.6739,16.9784,17.7286,19.0671,28.2487,34.7679,29.2543,23.1246,20.9154,21.6715,20.9646,17.1755,19.364,21.6509,24.2013,28.9464,31.2123
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,1.75,35.0651,29.8106,17.3407,11,11,11,11.3497,13.7876,17.1245,16.4455,16.7278,23.6754,29.0225,19.9878,13.1384,11,11,11,11,11,16.1055,20.6756,17.3359,23.7927,28.9563,19.9243,12.6096,11,13.9444,11,11,13.6102,14.1707,15.7026,17.1886,28.9827,35.511,22.3586,12.9326,11,11,11,11.0314,12.6154,14.9746,15.6796,16.7225,23.7958,33.9188,22.1449,14.3317,11.2842,11,11.6224,13.5867,14.309,22.2495,20.6358,14.691,22.3415,33.1111,19.4187,16.3628,18.6058,16.0665,17.1224,12.6255,15.7067,17.3401,19.5338,22.6051,24.1343,35.476,21.1138,23.5,20.966,17.5927,15.2643,15.7156,16.4438,18.8582,20.3417,20.3075,28.2442,40.5062,32.8462,25.1423,24.3048,25.0765,24.4122,21.2159,23.817,22.2846,26.5066,29.0423,32.5529
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,2,37.5341,30.652,20.0944,15.9233,12.4015,11,11,11,17.9734,17.5016,18.8968,29.156,31.2493,24.1464,15.9704,11,11.2923,11,12.1073,12.0663,13.066,22.2888,16.5509,24.3186,34.1232,23.3497,17.1856,11,16.8431,12.4546,12.3239,16.6397,18.3967,13.9603,18.911,28.4537,35.1399,22.6146,12.4848,11,11,13.1258,12.9762,13.4529,18.0869,15.8562,21.4827,27.3993,33.2863,23.7099,17.7666,13.1423,12.4751,13.8381,18.4895,15.9242,27.3415,18.1828,21.4743,26.2242,41.8616,18.5204,22.8185,17.5413,17.6118,16.2075,13.1902,14.2996,19.6697,20.0158,21.4501,26.1513,36.2597,23.9198,22.8722,21.6858,18.5827,18.0487,18.9157,19.3933,21.5437,24.0045,27.3116,29.6716,41.4736,36.354,29.6412,25.7435,26.9843,24.3008,25.852,27.3682,26.0214,25.1195,29.0739,37.2657
C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_5_33_PMX_462_2#22#2023_A_17A_14.OKA,2/22/2023 16:35,17-A,PM05,WG5-TT12A,SAM129332,Lysogenic WGT with TT12A converting phage,MBT,2.25,49.9239,43.5743,33.9259,23.0095,17.0402,13.0162,17.3953,18.2591,18.4786,21.1776,22.2589,28.2805,43.6072,33.4497,25.0576,14.2342,18.1086,13.3159,16.0955,16.5507,20.6817,25.0556,20.3287,28.7307,41.0582,28.087,26.4342,17.537,21.8389,14.1348,15.4343,19.594,21.3298,21.3296,18.3009,34.0102,50.1082,33.1167,22.0452,18.3062,14.5121,18.582,16.5455,16.2128,21.3306,17.6323,24.3045,28.4489,45.4654,29.1204,19.7077,17.9481,17.1513,18.5649,16.7791,18.1174,28.5532,22.4027,21.2586,30.556,47.8257,31.0837,25.8404,22.8487,22.6317,20.7284,18.5598,18.2008,20.575,23.2886,25.5393,29.8536,43.9301,34.7413,28.5165,26.767,25.4021,18.879,19.0373,22.021,26.8721,26.8206,25.7411,34.4455,46.5594,43.1812,34.1031,32.2259,34.1071,33.2705,30.9411,32.0049,28.3663,32.8308,33.9362,38.0118
